step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
0,1,0.0,-10.030,0,0,0.008607,-2.862092,2.886869,1.362867,-0.049866,0.227751,0.008327,-2.860950,2.883352,1.361723,-0.049412,0.227146,0.008327,-2.860950,2.883352,1.361723,-0.049412,0.227146,0.008327,-2.860950,2.883352,1.361723,-0.049412,0.227146,0.265060,-91.066872,91.779953,43.344971,-1.572815,13.361555,0.265060,-91.066872,91.779953,43.344971,-1.572815,13.361555,1954,1044,3075,2499,2015,2114,,0,48,1789054461.188904,11.5,1.55,16.46,2.56,0.74,1.87,33.44
1,0,0.03333333333333333,-28.747,0,0,0.008607,-2.859297,2.892530,1.362867,-0.049866,0.227751,0.008116,-2.861190,2.883534,1.362015,-0.049401,0.227206,0.008116,-2.861190,2.883534,1.362015,-0.049401,0.227206,0.008116,-2.861190,2.883534,1.362015,-0.049401,0.227206,0.258339,-91.074493,91.785736,43.354279,-1.572487,13.365081,0.258339,-91.074493,91.785736,43.354279,-1.572487,13.365081,1954,1044,3075,2499,2015,2114,,0,,,,1.99,,0.04,0.52,1.66,33.19
2,0,0.06666666666666667,-29.415,0,0,0.012050,-2.859297,2.895360,1.362867,-0.049866,0.227751,0.007916,-2.861395,2.883684,1.362256,-0.049381,0.227415,0.007916,-2.861395,2.883684,1.362256,-0.049381,0.227415,0.007916,-2.861395,2.883685,1.362256,-0.049381,0.227415,0.251976,-91.081039,91.790527,43.361954,-1.571861,13.377362,0.251976,-91.081039,91.790527,43.361954,-1.571861,13.377362,1954,1044,3075,2499,2015,2114,,0,,,,1.63,,0.03,0.40,1.46,33.09
3,0,0.1,-29.485,0,0,0.012050,-2.862092,2.909511,1.362867,-0.049866,0.227751,0.007704,-2.861573,2.883746,1.362449,-0.049363,0.227730,0.007704,-2.861573,2.883746,1.362449,-0.049363,0.227730,0.007704,-2.861573,2.883746,1.362449,-0.049364,0.227730,0.245239,-91.086685,91.792480,43.368103,-1.571289,13.395900,0.245239,-91.086685,91.792480,43.368103,-1.571289,13.395900,1954,1044,3075,2499,2015,2114,,0,,,,1.42,,0.02,0.46,1.64,33.20
4,0,0.13333333333333333,-29.559,0,0,0.012050,-2.862092,2.918001,1.362867,-0.049866,0.227751,0.007498,-2.861733,2.883706,1.362601,-0.049342,0.228101,0.007498,-2.861733,2.883706,1.362601,-0.049342,0.228101,0.007498,-2.861733,2.883706,1.362601,-0.049342,0.228101,0.238678,-91.091782,91.791229,43.372940,-1.570610,13.417727,0.238678,-91.091782,91.791229,43.372940,-1.570610,13.417727,1954,1044,3075,2499,2015,2115,,0,,,,1.46,,0.02,0.39,1.58,33.21
5,0,0.16666666666666666,-29.648,0,0,0.008607,-2.862092,2.920832,1.362867,-0.049866,0.227751,0.007329,-2.861883,2.883611,1.362741,-0.049321,0.228465,0.007329,-2.861883,2.883611,1.362741,-0.049321,0.228465,0.007329,-2.861883,2.883611,1.362740,-0.049321,0.228465,0.233292,-91.096550,91.788193,43.377380,-1.569931,13.439089,0.233292,-91.096550,91.788193,43.377380,-1.569931,13.439089,1954,1044,3075,2499,2015,2115,,0,,,,1.35,,0.02,0.38,1.58,33.13
6,0,0.2,-29.665,0,0,0.008607,-2.862092,2.920832,1.362867,-0.049866,0.227751,0.007187,-2.862054,2.883477,1.362854,-0.049296,0.228774,0.007187,-2.862054,2.883477,1.362854,-0.049296,0.228774,0.007187,-2.862054,2.883477,1.362854,-0.049296,0.228774,0.228775,-91.102005,91.783936,43.380981,-1.569138,13.457290,0.228775,-91.102005,91.783936,43.380981,-1.569138,13.457290,1954,1044,3075,2499,2015,2115,,0,,,,1.36,,0.02,0.45,1.56,33.21
7,0,0.23333333333333334,-29.498,0,0,0.008607,-2.862092,2.920832,1.362867,-0.049866,0.227751,0.007050,-2.862241,2.883294,1.362921,-0.049263,0.229040,0.007050,-2.862241,2.883294,1.362921,-0.049263,0.229040,0.007050,-2.862241,2.883294,1.362921,-0.049262,0.229040,0.224411,-91.107964,91.778091,43.383118,-1.568069,13.472915,0.224411,-91.107964,91.778091,43.383118,-1.568069,13.472915,1954,1043,3075,2500,2015,2116,,0,,,,1.36,,0.02,0.38,1.72,33.19
8,0,0.26666666666666666,-29.132,0,0,0.008607,-2.862092,2.920832,1.362867,-0.049866,0.227751,0.006946,-2.862424,2.883034,1.362910,-0.049229,0.229261,0.006946,-2.862424,2.883034,1.362910,-0.049229,0.229261,0.006946,-2.862424,2.883034,1.362910,-0.049229,0.229261,0.221107,-91.113777,91.769836,43.382751,-1.567017,13.485914,0.221107,-91.113777,91.769836,43.382751,-1.567017,13.485914,1954,1043,3075,2500,2015,2116,,0,,,,1.59,,0.04,0.53,1.68,33.15
9,0,0.3,-29.407,0,0,0.008607,-2.862092,2.920832,1.362867,-0.049866,0.227751,0.006967,-2.862609,2.882735,1.362852,-0.049196,0.229393,0.006967,-2.862609,2.882735,1.362852,-0.049196,0.229393,0.006967,-2.862609,2.882735,1.362852,-0.049196,0.229393,0.221779,-91.119667,91.760284,43.380936,-1.565971,13.493696,0.221779,-91.119667,91.760284,43.380936,-1.565971,13.493696,1954,1043,3075,2499,2015,2116,,0,,,,1.51,,0.03,0.46,1.59,33.22
