step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
0,1,0.0,-5.679,0,0,-0.015493,-2.856502,2.852906,1.373846,-0.034523,0.224265,-0.015984,-2.852267,2.852184,1.370174,-0.034151,0.217154,-0.015984,-2.852267,2.852184,1.370174,-0.034151,0.217154,-0.015984,-2.852267,2.852184,1.370174,-0.034151,0.217154,-0.508797,-90.790474,90.787842,43.613983,-1.087067,12.773788,-0.508797,-90.790474,90.787842,43.613983,-1.087067,12.773788,1947,1047,3064,2502,2025,2105,,0,44,1789030969.082460,34.3,13.10,6.77,2.02,0.81,4.79,33.45
1,0,0.03333333333333333,-29.501,0,0,-0.015493,-2.856502,2.872718,1.373846,-0.034523,0.224265,-0.016113,-2.851680,2.852291,1.369819,-0.034089,0.217720,-0.016113,-2.851680,2.852291,1.369819,-0.034089,0.217720,-0.016113,-2.851680,2.852291,1.369819,-0.034089,0.217720,-0.512901,-90.771782,90.791245,43.602692,-1.085098,12.807047,-0.512901,-90.771782,90.791245,43.602692,-1.085098,12.807047,1947,1047,3064,2502,2025,2106,,0,,,,1.50,,0.02,0.40,1.51,33.10
2,0,0.06666666666666667,-29.315,0,0,-0.015493,-2.856502,2.889699,1.373846,-0.034523,0.224265,-0.016155,-2.851282,2.852408,1.369611,-0.033997,0.218670,-0.016155,-2.851282,2.852408,1.369611,-0.033997,0.218670,-0.016155,-2.851282,2.852408,1.369611,-0.033997,0.218670,-0.514214,-90.759132,90.794968,43.596069,-1.082153,12.862936,-0.514214,-90.759132,90.794968,43.596069,-1.082153,12.862936,1947,1047,3064,2502,2025,2107,,0,,,,1.53,,0.03,0.43,1.69,33.13
3,0,0.1,-29.516,0,0,-0.015493,-2.856502,2.895360,1.373846,-0.034523,0.224265,-0.016143,-2.851119,2.852392,1.369597,-0.033904,0.219812,-0.016143,-2.851119,2.852392,1.369597,-0.033904,0.219812,-0.016143,-2.851119,2.852392,1.369597,-0.033904,0.219812,-0.513832,-90.753944,90.794464,43.595612,-1.079185,12.930143,-0.513832,-90.753944,90.794464,43.595612,-1.079185,12.930143,1947,1047,3064,2502,2025,2108,,0,,,,1.42,,0.02,0.44,1.62,33.24
4,0,0.13333333333333333,-28.420,0,0,-0.015493,-2.856502,2.895360,1.373846,-0.034523,0.224265,-0.016058,-2.851242,2.852154,1.369773,-0.033813,0.221011,-0.016058,-2.851242,2.852154,1.369773,-0.033813,0.221011,-0.016058,-2.851242,2.852154,1.369773,-0.033813,0.221011,-0.511139,-90.757843,90.786865,43.601227,-1.076294,13.000647,-0.511139,-90.757843,90.786865,43.601227,-1.076294,13.000647,1947,1047,3064,2502,2025,2109,,0,,,,1.63,,0.03,0.47,2.20,32.96
5,0,0.16666666666666666,-28.472,0,0,-0.015493,-2.856502,2.898190,1.373846,-0.034523,0.224265,-0.015889,-2.851618,2.851718,1.370178,-0.033707,0.222188,-0.015889,-2.851618,2.851718,1.370178,-0.033707,0.222188,-0.015889,-2.851618,2.851717,1.370178,-0.033707,0.222188,-0.505760,-90.769806,90.772980,43.614120,-1.072922,13.069889,-0.505760,-90.769806,90.772980,43.614120,-1.072922,13.069889,1947,1047,3064,2502,2025,2110,,0,,,,1.40,,0.02,0.86,2.28,33.20
6,0,0.2,-28.819,0,0,-0.015493,-2.856502,2.898190,1.373846,-0.034523,0.224265,-0.015676,-2.852227,2.851126,1.370810,-0.033601,0.223266,-0.015676,-2.852227,2.851126,1.370810,-0.033601,0.223266,-0.015676,-2.852227,2.851126,1.370810,-0.033601,0.223266,-0.498970,-90.789200,90.754181,43.634247,-1.069550,13.133272,-0.498970,-90.789200,90.754181,43.634247,-1.069550,13.133272,1947,1047,3064,2502,2025,2111,,0,,,,1.40,,0.03,0.44,2.33,33.24
7,0,0.23333333333333334,-29.379,0,0,-0.015493,-2.856502,2.898190,1.373846,-0.034523,0.224265,-0.015514,-2.852998,2.850407,1.371605,-0.033494,0.224163,-0.015514,-2.852998,2.850407,1.371605,-0.033494,0.224163,-0.015514,-2.852998,2.850407,1.371605,-0.033494,0.224163,-0.493828,-90.813751,90.731293,43.659531,-1.066132,13.186049,-0.493828,-90.813751,90.731293,43.659531,-1.066132,13.186049,1947,1047,3064,2503,2025,2111,,0,,,,1.60,,0.03,0.40,1.58,33.15
8,0,0.26666666666666666,-28.969,0,0,-0.015493,-2.856502,2.898190,1.373846,-0.034523,0.224265,-0.015398,-2.853840,2.849575,1.372462,-0.033417,0.224856,-0.015398,-2.853840,2.849575,1.372462,-0.033417,0.224856,-0.015398,-2.853840,2.849575,1.372462,-0.033417,0.224856,-0.490135,-90.840546,90.704803,43.686813,-1.063690,13.226801,-0.490135,-90.840546,90.704803,43.686813,-1.063690,13.226801,1948,1046,3063,2503,2025,2112,,0,,,,1.80,,0.03,0.43,1.72,33.12
9,0,0.3,-29.539,0,0,-0.015493,-2.856502,2.898190,1.373846,-0.034523,0.224265,-0.015187,-2.854697,2.848706,1.373347,-0.033356,0.225365,-0.015187,-2.854697,2.848706,1.373347,-0.033356,0.225365,-0.015187,-2.854697,2.848706,1.373347,-0.033356,0.225365,-0.483414,-90.867828,90.677109,43.714981,-1.061768,13.256756,-0.483414,-90.867828,90.677109,43.714981,-1.061768,13.256756,1948,1046,3063,2503,2025,2112,,0,,,,1.54,,0.03,0.39,1.54,33.21
