step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
10,0,0.3333333333333333,-29.585,0,0,0.005164,-2.856502,2.881208,1.426000,-0.034523,0.282365,0.001340,-2.885079,2.801550,1.437738,-0.031236,0.264191,0.001340,-2.885079,2.801550,1.437738,-0.031236,0.264191,0.001340,-2.885078,2.801550,1.437738,-0.031236,0.264191,0.042641,-91.834900,89.176102,45.764618,-0.994270,15.540658,0.042641,-91.834900,89.176102,45.764618,-0.994270,15.540658,1952,1035,3046,2527,2027,2146,,0,,,,1.48,,0.03,0.38,1.48,33.13
11,0,0.36666666666666664,-29.401,0,0,0.005164,-2.856502,2.881208,1.431490,-0.034523,0.280041,0.001851,-2.884975,2.802402,1.439456,-0.031361,0.260317,0.001851,-2.884975,2.802402,1.439456,-0.031361,0.260317,0.001851,-2.884975,2.802402,1.439456,-0.031361,0.260317,0.058914,-91.831604,89.203232,45.819290,-0.998245,15.312752,0.058914,-91.831604,89.203232,45.819290,-0.998245,15.312752,1953,1035,3047,2527,2027,2143,,0,,,,1.55,,0.04,0.45,1.54,33.14
12,0,0.4,-12.099,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.275393,0.001489,-2.882636,2.803465,1.439575,-0.031550,0.257318,0.001489,-2.882636,2.803465,1.439575,-0.031550,0.257318,0.001489,-2.882636,2.803465,1.439575,-0.031550,0.257318,0.047409,-91.757149,89.237061,45.823090,-1.004272,15.136348,0.047409,-91.757149,89.237061,45.823090,-1.004272,15.136348,1952,1036,3047,2527,2026,2140,,0,,,,18.79,,0.03,0.41,1.65,33.12
13,0,0.43333333333333335,-29.547,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.273069,0.000734,-2.878132,2.805102,1.437845,-0.031728,0.255105,0.000734,-2.878132,2.805102,1.437845,-0.031728,0.255105,0.000734,-2.878132,2.805102,1.437845,-0.031728,0.255105,0.023354,-91.613792,89.289169,45.768051,-1.009941,15.006169,0.023354,-91.613792,89.289169,45.768051,-1.009941,15.006169,1952,1038,3048,2527,2026,2138,,0,,,,1.61,,0.03,0.39,1.50,33.24
14,0,0.4666666666666667,-29.742,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.267259,-0.000267,-2.871832,2.807587,1.434165,-0.031940,0.253712,-0.000267,-2.871832,2.807587,1.434165,-0.031940,0.253712,-0.000267,-2.871832,2.807587,1.434165,-0.031940,0.253712,-0.008484,-91.413246,89.368256,45.650879,-1.016678,14.924211,-0.008484,-91.413246,89.368256,45.650879,-1.016678,14.924211,1952,1040,3048,2525,2026,2137,,0,,,,1.42,,0.02,0.37,1.50,33.19
15,0,0.5,-29.661,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.261449,-0.001623,-2.864360,2.811069,1.428849,-0.032197,0.252893,-0.001623,-2.864360,2.811069,1.428849,-0.032197,0.252893,-0.001623,-2.864360,2.811069,1.428849,-0.032197,0.252893,-0.051674,-91.175400,89.479111,45.481659,-1.024872,14.876084,-0.051674,-91.175400,89.479111,45.481659,-1.024872,14.876084,1952,1043,3050,2524,2026,2136,,0,,,,1.38,,0.02,0.50,1.50,33.22
16,0,0.5333333333333333,-29.664,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.257963,-0.003585,-2.856449,2.815374,1.422323,-0.032487,0.252149,-0.003585,-2.856449,2.815374,1.422323,-0.032487,0.252149,-0.003585,-2.856449,2.815375,1.422323,-0.032487,0.252149,-0.114105,-90.923599,89.616150,45.273941,-1.034081,14.832317,-0.114105,-90.923599,89.616150,45.273941,-1.034081,14.832317,1951,1046,3051,2521,2026,2135,,0,,,,1.37,,0.02,0.38,1.59,33.20
17,0,0.5666666666666667,-29.320,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.255639,-0.006078,-2.848416,2.819912,1.415212,-0.032835,0.251194,-0.006078,-2.848416,2.819912,1.415212,-0.032835,0.251194,-0.006078,-2.848416,2.819912,1.415212,-0.032835,0.251194,-0.193481,-90.667885,89.760590,45.047592,-1.045174,14.776140,-0.193481,-90.667885,89.760590,45.047592,-1.045174,14.776140,1950,1048,3053,2519,2026,2135,,0,,,,1.54,,0.03,0.42,1.63,33.11
18,0,0.6,-29.852,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.254477,-0.008619,-2.840849,2.824059,1.408478,-0.033231,0.250271,-0.008619,-2.840849,2.824059,1.408478,-0.033231,0.250271,-0.008619,-2.840849,2.824059,1.408478,-0.033231,0.250271,-0.274353,-90.427032,89.892593,44.833267,-1.057777,14.721814,-0.274353,-90.427032,89.892593,44.833267,-1.057777,14.721814,1949,1051,3054,2516,2025,2134,,0,,,,1.30,,0.02,0.43,1.47,33.19
19,0,0.6333333333333333,-29.646,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.254477,-0.010809,-2.833886,2.827345,1.403055,-0.033653,0.250231,-0.010809,-2.833886,2.827345,1.403055,-0.033653,0.250231,-0.010809,-2.833886,2.827345,1.403055,-0.033653,0.250231,-0.344063,-90.205399,89.997177,44.660629,-1.071205,14.719498,-0.344063,-90.205399,89.997177,44.660629,-1.071205,14.719498,1949,1054,3055,2514,2025,2134,,0,,,,1.46,,0.03,0.41,1.53,33.21
20,0,0.6666666666666666,-29.760,0,0,0.005164,-2.856502,2.881208,1.434235,-0.034523,0.254477,-0.012495,-2.827564,2.829190,1.399679,-0.034115,0.251670,-0.012495,-2.827564,2.829190,1.399679,-0.034115,0.251670,-0.012495,-2.827564,2.829190,1.399679,-0.034115,0.251670,-0.397736,-90.004166,90.055908,44.553177,-1.085899,14.804110,-0.397736,-90.004166,90.055908,44.553177,-1.085899,14.804110,1948,1056,3056,2513,2025,2135,,0,,,,1.39,,0.02,0.45,1.45,33.18
21,0,0.7,-29.702,0,0,0.001721,-2.848117,2.881208,1.434235,-0.034523,0.254477,-0.013388,-2.821457,2.828931,1.398462,-0.034610,0.254256,-0.013388,-2.821457,2.828931,1.398462,-0.034610,0.254256,-0.013388,-2.821457,2.828931,1.398462,-0.034610,0.254256,-0.426155,-89.809769,90.047653,44.514420,-1.101654,14.956264,-0.426155,-89.809769,90.047653,44.514420,-1.101654,14.956264,1948,1058,3056,2512,2024,2137,,0,,,,1.40,,0.02,0.47,1.50,33.25
22,0,0.7333333333333333,-29.727,0,0,0.001721,-2.836936,2.881208,1.434235,-0.034523,0.254477,-0.013118,-2.814832,2.825907,1.398275,-0.035096,0.257007,-0.013118,-2.814832,2.825907,1.398275,-0.035096,0.257007,-0.013118,-2.814832,2.825907,1.398275,-0.035096,0.257007,-0.417542,-89.598900,89.951431,44.508469,-1.117149,15.118053,-0.417542,-89.598900,89.951431,44.508469,-1.117149,15.118053,1948,1060,3055,2512,2024,2140,,0,,,,1.33,,0.02,0.41,1.55,33.17
