step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
0,1,0.0,-14.875,0,0,0.022378,-2.850912,2.864227,1.362867,-0.013042,0.225427,0.021775,-2.845710,2.864630,1.358529,-0.012517,0.222320,0.021775,-2.845710,2.864630,1.358529,-0.012517,0.222320,0.021775,-2.845710,2.864630,1.358529,-0.012517,0.222320,0.693130,-90.581757,91.184021,43.243332,-0.398430,13.077638,0.693130,-90.581757,91.184021,43.243332,-0.398430,13.077638,1958,1049,3069,2498,2039,2110,,0,124,1789034604.221514,2.1,1.88,11.67,2.43,0.46,1.91,34.81
1,0,0.03333333333333333,-27.787,0,0,0.022378,-2.850912,2.864227,1.362867,-0.013042,0.225427,0.021485,-2.845547,2.865145,1.358429,-0.012517,0.222506,0.021485,-2.845547,2.865145,1.358429,-0.012517,0.222506,0.021485,-2.845547,2.865145,1.358429,-0.012517,0.222506,0.683891,-90.576569,91.200394,43.240128,-0.398430,13.088602,0.683891,-90.576569,91.200394,43.240128,-0.398430,13.088602,1958,1049,3069,2498,2039,2110,,0,,,,1.49,,0.03,0.50,1.76,32.52
2,0,0.06666666666666667,-28.383,0,0,0.022378,-2.848117,2.867057,1.362867,-0.013042,0.225427,0.021200,-2.845558,2.865546,1.358502,-0.012511,0.222970,0.021200,-2.845558,2.865546,1.358502,-0.012511,0.222970,0.021200,-2.845558,2.865546,1.358502,-0.012511,0.222970,0.674805,-90.576927,91.213150,43.242462,-0.398232,13.115891,0.674805,-90.576927,91.213150,43.242462,-0.398232,13.115891,1958,1049,3069,2498,2039,2110,,0,,,,1.55,,0.03,0.48,1.75,32.39
3,0,0.1,-29.303,0,0,0.022378,-2.845322,2.886869,1.362867,-0.013042,0.225427,0.020890,-2.845712,2.865722,1.358728,-0.012513,0.223606,0.020890,-2.845712,2.865722,1.358728,-0.012513,0.223606,0.020890,-2.845712,2.865722,1.358728,-0.012513,0.223606,0.664963,-90.581818,91.218765,43.249649,-0.398293,13.153278,0.664963,-90.581818,91.218765,43.249649,-0.398293,13.153278,1958,1049,3069,2498,2039,2111,,0,,,,1.60,,0.03,0.42,1.64,33.19
4,0,0.13333333333333333,-29.512,0,0,0.022378,-2.845322,2.898190,1.362867,-0.013042,0.225427,0.020590,-2.846017,2.865613,1.359040,-0.012518,0.224279,0.020590,-2.846017,2.865613,1.359040,-0.012518,0.224279,0.020590,-2.846017,2.865613,1.359040,-0.012518,0.224279,0.655388,-90.591537,91.215286,43.259583,-0.398460,13.192860,0.655388,-90.591537,91.215286,43.259583,-0.398460,13.192860,1958,1049,3069,2498,2039,2112,,0,,,,1.47,,0.02,0.41,1.57,33.16
5,0,0.16666666666666666,-29.383,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.020329,-2.846445,2.865295,1.359478,-0.012515,0.224849,0.020329,-2.846445,2.865295,1.359478,-0.012515,0.224849,0.020329,-2.846445,2.865295,1.359478,-0.012515,0.224849,0.647079,-90.605164,91.205154,43.273529,-0.398361,13.226384,0.647079,-90.605164,91.205154,43.273529,-0.398361,13.226384,1958,1049,3069,2498,2039,2112,,0,,,,1.51,,0.03,0.44,1.61,33.12
6,0,0.2,-29.145,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.020109,-2.847016,2.864820,1.359970,-0.012496,0.225239,0.020109,-2.847016,2.864820,1.359970,-0.012496,0.225239,0.020109,-2.847016,2.864820,1.359970,-0.012496,0.225239,0.640091,-90.623329,91.190048,43.289185,-0.397766,13.249365,0.640091,-90.623329,91.190048,43.289185,-0.397766,13.249365,1958,1049,3069,2498,2039,2112,,0,,,,1.59,,0.03,0.43,1.76,33.14
7,0,0.23333333333333334,-29.183,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.019916,-2.847687,2.864197,1.360448,-0.012464,0.225524,0.019916,-2.847687,2.864197,1.360448,-0.012464,0.225524,0.019916,-2.847687,2.864197,1.360448,-0.012464,0.225524,0.633942,-90.644684,91.170212,43.304398,-0.396729,13.266092,0.633942,-90.644684,91.170212,43.304398,-0.396729,13.266092,1958,1049,3068,2499,2039,2113,,0,,,,1.52,,0.03,0.59,1.65,33.15
8,0,0.26666666666666666,-28.874,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.019815,-2.848433,2.863422,1.360865,-0.012429,0.225786,0.019815,-2.848433,2.863422,1.360865,-0.012429,0.225786,0.019815,-2.848433,2.863422,1.360865,-0.012429,0.225786,0.630722,-90.668434,91.145538,43.317673,-0.395638,13.281536,0.630722,-90.668434,91.145538,43.317673,-0.395638,13.281536,1958,1048,3068,2499,2039,2113,,0,,,,1.51,,0.19,0.43,1.88,33.10
9,0,0.3,-28.972,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.019967,-2.849250,2.862565,1.361286,-0.012393,0.226010,0.019967,-2.849250,2.862565,1.361286,-0.012393,0.226010,0.019967,-2.849250,2.862565,1.361286,-0.012393,0.226010,0.635574,-90.694450,91.118271,43.331070,-0.394463,13.294715,0.635574,-90.694450,91.118271,43.331070,-0.394463,13.294715,1958,1048,3068,2499,2039,2113,,0,,,,1.70,,0.04,0.59,1.70,33.21
10,0,0.3333333333333333,-28.716,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.020472,-2.850197,2.861739,1.361878,-0.012335,0.226147,0.020472,-2.850197,2.861739,1.361878,-0.012335,0.226147,0.020472,-2.850197,2.861739,1.361878,-0.012335,0.226147,0.651634,-90.724579,91.091980,43.349915,-0.392624,13.302792,0.651634,-90.724579,91.091980,43.349915,-0.392624,13.302792,1958,1048,3068,2499,2039,2113,,0,,,,1.80,,0.03,0.49,1.89,33.18
11,0,0.36666666666666664,-28.344,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.021212,-2.851233,2.860981,1.362680,-0.012263,0.226187,0.021212,-2.851233,2.860981,1.362680,-0.012263,0.226187,0.021212,-2.851233,2.860981,1.362680,-0.012263,0.226187,0.675201,-90.757568,91.067841,43.375443,-0.390343,13.305095,0.675201,-90.757568,91.067841,43.375443,-0.390343,13.305095,1958,1047,3067,2499,2039,2113,,0,,,,1.83,,0.04,0.51,1.98,32.92
12,0,0.4,-27.206,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.021957,-2.852214,2.860279,1.363497,-0.012204,0.226137,0.021957,-2.852214,2.860279,1.363497,-0.012204,0.226137,0.021957,-2.852214,2.860279,1.363498,-0.012204,0.226137,0.698898,-90.788788,91.045502,43.401474,-0.388481,13.302195,0.698898,-90.788788,91.045502,43.401474,-0.388481,13.302195,1958,1047,3067,2500,2039,2113,,0,,,,1.82,,0.03,0.50,3.21,33.03
13,0,0.43333333333333335,-28.973,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.022568,-2.853117,2.859690,1.364210,-0.012165,0.226040,0.022568,-2.853117,2.859690,1.364210,-0.012165,0.226040,0.022568,-2.853117,2.859690,1.364210,-0.012165,0.226040,0.718376,-90.817528,91.026764,43.424164,-0.387215,13.296497,0.718376,-90.817528,91.026764,43.424164,-0.387215,13.296497,1959,1047,3067,2500,2039,2113,,0,,,,1.70,,0.03,0.48,1.70,33.04
14,0,0.4666666666666667,-29.491,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.023017,-2.853940,2.859291,1.364805,-0.012131,0.225946,0.023017,-2.853940,2.859291,1.364805,-0.012131,0.225946,0.023017,-2.853940,2.859291,1.364805,-0.012131,0.225946,0.732651,-90.843727,91.014053,43.443100,-0.386131,13.290933,0.732651,-90.843727,91.014053,43.443100,-0.386131,13.290933,1959,1046,3067,2500,2039,2113,,0,,,,1.54,,0.03,0.40,1.54,33.14
15,0,0.5,-29.147,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.023345,-2.854723,2.859123,1.365279,-0.012106,0.225917,0.023345,-2.854723,2.859123,1.365279,-0.012106,0.225917,0.023345,-2.854723,2.859123,1.365279,-0.012106,0.225917,0.743103,-90.868645,91.008698,43.458191,-0.385361,13.289216,0.743103,-90.868645,91.008698,43.458191,-0.385361,13.289216,1959,1046,3067,2500,2039,2113,,0,,,,1.67,,0.03,0.45,1.65,33.10
16,0,0.5333333333333333,-29.196,0,0,0.025821,-2.845322,2.903851,1.362867,-0.013042,0.225427,0.023595,-2.855439,2.859161,1.365598,-0.012087,0.226005,0.023595,-2.855439,2.859161,1.365598,-0.012087,0.226005,0.023595,-2.855439,2.859161,1.365598,-0.012087,0.226005,0.751053,-90.891457,91.009903,43.468338,-0.384727,13.294419,0.751053,-90.891457,91.009903,43.468338,-0.384727,13.294419,1959,1046,3067,2500,2039,2113,,0,,,,1.60,,0.03,0.41,1.64,33.14
