monotonic,measured_shoulder_pan,measured_shoulder_lift,measured_elbow_flex,measured_wrist_flex,measured_wrist_roll,measured_gripper,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,hold_reason,settled
0.000,0.822,-48.932,67.207,51.245,-0.415,27.614,0.822,-49.432,67.707,50.745,-0.415,27.114,,0
0.034,0.822,-48.932,67.207,51.245,-0.415,27.614,0.822,-49.932,68.207,50.245,-0.415,26.614,,0
0.067,0.822,-48.932,67.838,51.158,-0.415,27.614,0.822,-50.432,68.707,49.745,-0.415,26.114,,0
0.100,0.932,-48.932,68.649,51.070,-0.415,27.273,0.822,-50.932,69.207,49.245,-0.415,25.614,,0
0.134,1.041,-48.932,69.279,50.721,-0.415,26.794,0.822,-51.432,69.707,48.745,-0.415,25.114,,0
0.167,1.041,-48.932,69.730,50.284,-0.415,26.316,0.822,-51.932,70.207,48.245,-0.415,24.614,,0
0.200,1.041,-49.288,70.360,49.847,-0.415,25.837,0.822,-52.432,70.707,47.745,-0.415,24.114,,0
0.234,0.932,-49.733,70.901,49.410,-0.415,25.359,0.822,-52.932,71.207,47.245,-0.415,23.614,,0
0.267,0.932,-50.267,71.351,48.886,-0.415,24.880,0.822,-53.432,71.707,46.745,-0.415,23.114,,0
0.301,0.932,-50.801,71.892,48.362,-0.415,24.334,0.822,-53.932,72.207,46.245,-0.415,22.614,,0
0.334,0.932,-51.246,72.342,47.925,-0.415,23.855,0.822,-54.432,72.707,45.745,-0.415,22.114,,0
0.367,0.932,-51.779,72.883,47.488,-0.415,23.377,0.822,-54.932,73.207,45.245,-0.415,21.614,,0
0.401,0.932,-52.313,73.423,46.964,-0.415,22.830,0.822,-55.432,73.707,44.745,-0.415,21.114,,0
0.434,0.932,-52.847,73.874,46.439,-0.415,22.351,0.822,-55.932,74.207,44.245,-0.415,20.614,,0
0.467,0.932,-53.381,74.324,46.003,-0.415,21.805,0.822,-56.432,74.707,43.745,-0.415,20.114,,0
0.501,0.932,-53.826,74.865,45.478,-0.415,21.326,0.822,-56.932,75.207,43.245,-0.415,19.614,,0
0.534,0.932,-54.359,75.315,45.042,-0.415,20.848,0.822,-57.432,75.707,42.745,-0.415,19.114,,0
0.568,0.932,-54.893,75.766,44.517,-0.415,20.301,0.822,-57.932,76.207,42.745,-0.415,18.614,,0
0.601,0.932,-55.427,76.306,43.993,-0.415,19.822,0.822,-58.432,76.707,42.745,-0.415,18.114,,0
0.634,0.932,-55.961,76.847,43.731,-0.415,19.344,0.822,-58.932,77.207,42.745,-0.415,17.614,,0
0.668,0.932,-56.406,77.387,43.556,-0.415,18.865,0.822,-59.432,77.707,42.745,-0.415,17.114,,0
0.701,0.932,-56.940,77.838,43.469,-0.415,18.319,0.822,-59.932,78.207,42.745,-0.415,16.614,,0
0.734,0.932,-57.562,78.378,43.381,-0.415,17.840,0.822,-60.432,78.707,42.745,-0.415,16.114,,0
0.768,0.932,-58.007,78.919,43.381,-0.415,17.362,0.822,-60.932,79.207,42.745,-0.415,15.614,,0
0.801,0.932,-58.630,79.369,43.381,-0.415,16.883,0.822,-61.432,79.707,42.745,-0.415,15.114,,0
0.834,0.932,-59.075,79.820,43.381,-0.415,16.336,0.822,-61.932,80.207,42.745,-0.415,14.614,,0
0.868,0.932,-59.609,80.270,43.381,-0.415,15.858,0.822,-62.432,80.707,42.745,-0.415,14.114,,0
0.901,0.932,-60.142,80.811,43.381,-0.415,15.311,0.822,-62.932,81.207,42.745,-0.415,13.614,,0
0.935,0.932,-60.676,81.441,43.381,-0.415,14.833,0.822,-63.432,81.707,42.745,-0.415,13.114,,0
0.968,0.932,-61.210,81.892,43.381,-0.415,14.354,0.822,-63.932,82.207,42.745,-0.415,13.114,,0
1.001,0.932,-61.655,82.342,43.381,-0.415,13.876,0.822,-64.432,82.707,42.745,-0.415,13.114,,0
1.035,0.932,-62.278,82.793,43.381,-0.415,13.602,0.822,-64.932,83.207,42.745,-0.415,13.114,,0
1.068,0.932,-62.811,83.423,43.381,-0.415,13.397,0.822,-65.432,83.707,42.745,-0.415,13.114,,0
1.101,0.932,-63.256,83.874,43.381,-0.415,13.329,0.822,-65.932,84.207,42.745,-0.415,13.114,,0
1.135,0.932,-63.790,84.324,43.381,-0.415,13.260,0.822,-66.432,84.707,42.745,-0.415,13.114,,0
1.168,0.932,-64.324,84.775,43.381,-0.415,13.260,0.822,-66.932,85.207,42.745,-0.415,13.114,,0
1.202,0.932,-64.858,85.315,43.381,-0.415,13.260,0.822,-67.432,85.707,42.745,-0.415,13.114,,0
1.235,0.932,-65.391,85.856,43.381,-0.415,13.260,0.822,-67.932,86.207,42.745,-0.415,13.114,,0
1.268,0.932,-65.925,86.306,43.381,-0.415,13.260,0.822,-68.432,86.707,42.745,-0.415,13.114,,0
1.302,0.932,-66.370,86.757,43.381,-0.415,13.260,0.822,-68.932,87.207,42.745,-0.415,13.114,,0
1.335,1.041,-66.993,87.297,43.381,-0.415,13.260,0.822,-69.432,87.707,42.745,-0.415,13.114,,0
1.368,1.041,-67.527,87.838,43.381,-0.415,13.260,0.822,-69.932,88.207,42.745,-0.415,13.114,,0
1.402,1.041,-67.972,88.378,43.381,-0.415,13.260,0.822,-70.432,88.707,42.745,-0.415,13.114,,0
1.435,1.041,-68.505,88.829,43.381,-0.415,13.260,0.822,-70.932,89.207,42.745,-0.415,13.114,,0
1.469,1.041,-69.039,89.279,43.381,-0.415,13.260,0.822,-71.432,89.707,42.745,-0.415,13.114,,0
1.502,1.041,-69.662,89.820,43.381,-0.415,13.260,0.822,-71.932,90.207,42.745,-0.415,13.114,,0
1.535,1.041,-70.196,90.360,43.381,-0.415,13.260,0.822,-72.432,90.207,42.745,-0.415,13.114,,0
1.569,1.041,-70.730,90.811,43.381,-0.415,13.260,0.822,-72.932,90.207,42.745,-0.415,13.114,,0
1.602,1.041,-71.263,90.991,43.381,-0.415,13.260,0.822,-73.432,90.207,42.745,-0.415,13.114,,0
1.635,1.041,-71.797,90.991,43.381,-0.415,13.260,0.822,-73.932,90.207,42.745,-0.415,13.114,,0
1.669,1.151,-72.242,90.991,43.381,-0.415,13.260,0.822,-74.432,90.207,42.745,-0.415,13.114,,0
1.702,1.151,-72.776,91.171,43.381,-0.415,13.260,0.822,-74.932,90.207,42.745,-0.415,13.114,,0
1.736,1.041,-73.132,91.171,43.381,-0.415,13.260,0.822,-75.432,90.207,42.745,-0.415,13.114,,0
1.769,0.932,-73.665,91.171,43.381,-0.415,13.260,0.822,-75.932,90.207,42.745,-0.415,13.114,,0
1.802,0.822,-74.199,91.171,43.381,-0.415,13.260,0.822,-76.432,90.207,42.745,-0.415,13.114,,0
1.836,0.822,-74.733,91.171,43.381,-0.415,13.260,0.822,-76.932,90.207,42.745,-0.415,13.114,,0
1.869,0.822,-75.178,91.171,43.381,-0.415,13.260,0.822,-77.432,90.207,42.745,-0.415,13.114,,0
1.902,0.822,-75.712,91.171,43.381,-0.415,13.260,0.822,-77.932,90.207,42.745,-0.415,13.114,,0
1.936,0.822,-76.246,91.171,43.381,-0.415,13.260,0.822,-78.432,90.207,42.745,-0.415,13.114,,0
1.969,0.822,-76.690,91.171,43.381,-0.415,13.260,0.822,-78.932,90.207,42.745,-0.415,13.114,,0
2.002,0.822,-77.135,91.171,43.381,-0.415,13.260,0.822,-79.432,90.207,42.745,-0.415,13.114,,0
2.036,0.822,-77.758,91.171,43.381,-0.415,13.260,0.822,-79.932,90.207,42.745,-0.415,13.114,,0
2.069,0.822,-78.203,91.171,43.381,-0.415,13.260,0.822,-80.432,90.207,42.745,-0.415,13.114,,0
2.103,0.822,-78.737,91.171,43.381,-0.415,13.260,0.822,-80.932,90.207,42.745,-0.415,13.114,,0
2.136,0.822,-79.181,91.171,43.381,-0.415,13.260,0.822,-81.432,90.207,42.745,-0.415,13.114,,0
2.169,0.822,-79.715,91.171,43.381,-0.415,13.260,0.822,-81.932,90.207,42.745,-0.415,13.114,,0
2.203,0.822,-80.249,91.171,43.381,-0.415,13.260,0.822,-82.432,90.207,42.745,-0.415,13.114,,0
2.236,0.822,-80.694,91.171,43.381,-0.415,13.260,0.822,-82.932,90.207,42.745,-0.415,13.114,,0
2.269,0.822,-81.228,91.171,43.381,-0.415,13.260,0.822,-83.432,90.207,42.745,-0.415,13.114,,0
2.303,0.822,-81.762,91.171,43.381,-0.415,13.260,0.822,-83.932,90.207,42.745,-0.415,13.114,,0
2.336,0.822,-82.206,91.171,43.381,-0.415,13.260,0.822,-84.432,90.207,42.745,-0.415,13.114,,0
2.370,0.822,-82.740,91.171,43.381,-0.415,13.260,0.822,-84.932,90.207,42.745,-0.415,13.114,,0
2.403,0.822,-83.185,91.171,43.381,-0.415,13.260,0.822,-85.432,90.207,42.745,-0.415,13.114,,0
2.436,0.822,-83.719,91.171,43.381,-0.415,13.260,0.822,-85.932,90.207,42.745,-0.415,13.114,,0
2.470,0.822,-84.253,91.171,43.381,-0.415,13.260,0.822,-86.432,90.207,42.745,-0.415,13.114,,0
2.503,0.822,-84.786,91.171,43.381,-0.415,13.260,0.822,-86.932,90.207,42.745,-0.415,13.114,,0
2.537,0.822,-85.231,91.171,43.381,-0.415,13.260,0.822,-87.432,90.207,42.745,-0.415,13.114,,0
2.570,0.822,-85.765,91.171,43.381,-0.415,13.260,0.822,-87.932,90.207,42.745,-0.415,13.114,,0
2.603,0.822,-86.299,91.171,43.381,-0.415,13.260,0.822,-88.432,90.207,42.745,-0.415,13.114,,0
2.637,0.822,-86.833,91.171,43.381,-0.415,13.260,0.822,-88.932,90.207,42.745,-0.415,13.114,,0
2.670,0.822,-87.278,91.171,43.381,-0.415,13.260,0.822,-89.432,90.207,42.745,-0.415,13.114,,0
2.703,0.822,-87.811,91.171,43.381,-0.415,13.260,0.822,-89.932,90.207,42.745,-0.415,13.114,,0
2.737,0.822,-88.256,91.171,43.381,-0.415,13.260,0.822,-90.432,90.207,42.745,-0.415,13.114,,0
2.770,0.822,-88.790,91.171,43.381,-0.415,13.260,0.822,-90.932,90.207,42.745,-0.415,13.114,,0
2.804,0.822,-89.324,91.171,43.381,-0.415,13.260,0.822,-91.432,90.207,42.745,-0.415,13.114,,0
2.837,0.822,-89.858,91.171,43.381,-0.415,13.260,0.822,-91.432,90.207,42.745,-0.415,13.114,,1
