episode,video,from_ts,to_ts,min_ts,max_ts,drift_s
25,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000025.mp4,0.0,11.3,0.030663728713989258,12.185904026031494,0.8859040260314934
11,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000011.mp4,0.0,10.366666666666667,0.06143784523010254,11.24993085861206,0.8832641919453934
30,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000030.mp4,0.0,11.633333333333333,0.012460708618164062,12.515633821487427,0.8823004881540939
33,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000033.mp4,0.0,10.6,0.02603912353515625,11.449138164520264,0.849138164520264
46,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000046.mp4,0.0,10.233333333333333,0.02843189239501953,11.071202754974365,0.8378694216410327
36,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000036.mp4,0.0,11.566666666666666,0.020344018936157227,12.396704912185669,0.8300382455190025
29,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000029.mp4,0.0,9.433333333333334,0.03113698959350586,10.261589050292969,0.8282557169596352
42,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000042.mp4,0.0,10.733333333333333,0.0032470226287841797,11.553141832351685,0.8198084990183521
20,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000020.mp4,0.0,10.333333333333334,0.025322914123535156,11.148108959197998,0.8147756258646641
32,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000032.mp4,0.0,10.6,0.022110939025878906,11.408740043640137,0.8087400436401371
43,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000043.mp4,0.0,9.233333333333333,0.029864788055419922,9.999276638031006,0.7659433046976734
31,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000031.mp4,0.0,8.533333333333333,0.02056288719177246,9.29252815246582,0.7591948191324871
8,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000008.mp4,0.0,9.366666666666667,0.00710606575012207,10.105987787246704,0.739321120580037
41,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000041.mp4,0.0,8.9,0.03747296333312988,9.63773798942566,0.7377379894256588
39,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000039.mp4,0.0,9.133333333333333,0.03222084045410156,9.866981029510498,0.7336476961771652
23,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000023.mp4,0.0,8.7,0.005343914031982422,9.409993886947632,0.7099938869476325
40,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000040.mp4,0.0,8.766666666666667,0.014014959335327148,9.454906940460205,0.6882402737935376
49,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000049.mp4,0.0,8.133333333333333,0.02534770965576172,8.770766735076904,0.6374334017435714
48,imitation-learning/datasets/so101_pickplace_v1/videos/observation.images.wrist/chunk-000/episode_000048.mp4,0.0,7.9,0.01814103126525879,8.497855186462402,0.597855186462402
