step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
11,0,,0.000,0,0,0.015475,-2.853878,2.875993,1.371542,-0.037551,0.230285,0.015999,-2.853598,2.864095,1.370530,-0.037242,0.230768,0.015999,-2.853598,2.864095,1.370530,-0.037242,0.230768,0.015999,-2.853598,2.864095,1.370530,-0.037242,0.230768,0.509247,-90.832832,91.166977,43.625336,-1.185440,13.574606,,,,,,,1957,1047,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.32,0.73,1.86
12,0,,0.000,0,0,0.015481,-2.853897,2.876047,1.371572,-0.037546,0.230294,0.016091,-2.853736,2.864150,1.370634,-0.037225,0.230590,0.016091,-2.853736,2.864150,1.370634,-0.037225,0.230590,0.016091,-2.853736,2.864150,1.370634,-0.037225,0.230590,0.512184,-90.837227,91.168716,43.628647,-1.184914,13.564101,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.26,0.75,1.89
13,0,,0.000,0,0,0.015488,-2.853918,2.876105,1.371605,-0.037540,0.230300,0.016109,-2.853847,2.864192,1.370658,-0.037217,0.230498,0.016109,-2.853847,2.864192,1.370658,-0.037217,0.230498,0.016109,-2.853847,2.864192,1.370658,-0.037216,0.230498,0.512756,-90.840759,91.170044,43.629410,-1.184639,13.558703,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.28,0.71,1.83
14,0,,0.000,0,0,0.015496,-2.853941,2.876162,1.371639,-0.037534,0.230303,0.016071,-2.853922,2.864216,1.370636,-0.037213,0.230481,0.016071,-2.853922,2.864216,1.370636,-0.037213,0.230481,0.016071,-2.853922,2.864216,1.370636,-0.037213,0.230481,0.511566,-90.843147,91.170822,43.628693,-1.184509,13.557712,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.28,0.68,1.75
15,0,,0.000,0,0,0.015503,-2.853963,2.876216,1.371670,-0.037529,0.230306,0.016020,-2.853986,2.864223,1.370627,-0.037210,0.230528,0.016020,-2.853986,2.864223,1.370627,-0.037210,0.230528,0.016020,-2.853986,2.864223,1.370627,-0.037210,0.230528,0.509941,-90.845177,91.171051,43.628418,-1.184425,13.560471,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.24,0.65,1.76
16,0,,0.000,0,0,0.015511,-2.853987,2.876272,1.371701,-0.037524,0.230310,0.015966,-2.854030,2.864209,1.370651,-0.037212,0.230629,0.015966,-2.854030,2.864209,1.370651,-0.037212,0.230629,0.015966,-2.854030,2.864209,1.370651,-0.037212,0.230629,0.508202,-90.846581,91.170609,43.629196,-1.184479,13.566390,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.25,0.67,1.77
17,0,,0.000,0,0,0.015517,-2.854011,2.876328,1.371733,-0.037518,0.230315,0.015881,-2.854072,2.864180,1.370705,-0.037215,0.230768,0.015881,-2.854072,2.864180,1.370705,-0.037215,0.230768,0.015881,-2.854072,2.864180,1.370705,-0.037215,0.230768,0.505508,-90.847916,91.169678,43.630890,-1.184586,13.574589,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.24,0.66,1.71
18,0,,0.000,0,0,0.015521,-2.854035,2.876379,1.371763,-0.037513,0.230322,0.015749,-2.854117,2.864143,1.370802,-0.037217,0.230926,0.015749,-2.854117,2.864143,1.370802,-0.037217,0.230926,0.015749,-2.854117,2.864143,1.370802,-0.037218,0.230926,0.501312,-90.849373,91.168503,43.633987,-1.184669,13.583878,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.25,0.75,1.86
19,0,,0.000,0,0,0.015524,-2.854060,2.876432,1.371796,-0.037508,0.230332,0.015582,-2.854198,2.864100,1.370950,-0.037219,0.231079,0.015582,-2.854198,2.864100,1.370950,-0.037219,0.231079,0.015582,-2.854198,2.864100,1.370950,-0.037219,0.231079,0.495995,-90.851944,91.167130,43.638687,-1.184715,13.592896,,,,,,,1957,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.24,0.64,1.70
20,0,,0.000,0,0,0.015526,-2.854086,2.876483,1.371831,-0.037503,0.230344,0.015363,-2.854306,2.864047,1.371120,-0.037219,0.231195,0.015363,-2.854306,2.864047,1.371120,-0.037219,0.231195,0.015363,-2.854306,2.864048,1.371120,-0.037219,0.231195,0.489021,-90.855385,91.165466,43.644104,-1.184723,13.599714,,,,,,,1956,1046,3068,2503,2023,2117,,0,,,,0.05,,0.01,0.24,0.64,1.68
21,0,,0.000,0,0,0.015524,-2.854111,2.876529,1.371866,-0.037498,0.230357,0.015102,-2.854409,2.863961,1.371277,-0.037219,0.231256,0.015102,-2.854409,2.863961,1.371277,-0.037219,0.231256,0.015102,-2.854409,2.863961,1.371278,-0.037219,0.231256,0.480721,-90.858643,91.162704,43.649109,-1.184715,13.603294,,,,,,,1956,1046,3068,2503,2023,2118,,0,,,,0.06,,0.01,0.31,0.65,1.87
22,0,,0.000,0,0,0.015520,-2.854139,2.876577,1.371905,-0.037493,0.230372,0.014848,-2.854498,2.863857,1.371431,-0.037218,0.231256,0.014848,-2.854498,2.863857,1.371431,-0.037218,0.231256,0.014848,-2.854498,2.863857,1.371431,-0.037218,0.231256,0.472626,-90.861496,91.159409,43.654007,-1.184669,13.603306,,,,,,,1956,1046,3068,2503,2023,2118,,0,,,,0.06,,0.01,0.27,0.66,1.78
23,0,,0.000,0,0,0.015512,-2.854167,2.876622,1.371946,-0.037488,0.230388,0.014633,-2.854576,2.863762,1.371610,-0.037215,0.231192,0.014633,-2.854576,2.863762,1.371610,-0.037215,0.231192,0.014633,-2.854576,2.863761,1.371610,-0.037215,0.231192,0.465775,-90.863976,91.156357,43.659714,-1.184608,13.599509,,,,,,,1956,1046,3068,2503,2023,2117,,0,,,,0.07,,0.01,0.25,0.65,1.71
24,0,,0.000,0,0,0.015501,-2.854195,2.876663,1.371987,-0.037483,0.230401,0.014488,-2.854622,2.863666,1.371793,-0.037210,0.231060,0.014488,-2.854622,2.863666,1.371793,-0.037210,0.231060,0.014488,-2.854622,2.863665,1.371793,-0.037210,0.231060,0.461159,-90.865440,91.153305,43.665512,-1.184441,13.591761,,,,,,,1956,1046,3068,2503,2023,2117,,0,,,,0.05,,0.01,0.27,0.66,1.76
25,0,,0.000,0,0,0.015489,-2.854225,2.876704,1.372031,-0.037479,0.230413,0.014454,-2.854614,2.863545,1.371934,-0.037202,0.230864,0.014454,-2.854614,2.863545,1.371934,-0.037202,0.230864,0.014454,-2.854614,2.863545,1.371934,-0.037202,0.230864,0.460075,-90.865173,91.149460,43.670013,-1.184174,13.580215,,,,,,,1956,1046,3068,2503,2023,2117,,0,,,,0.05,,0.01,0.26,0.68,1.75
26,0,,0.000,0,0,0.015475,-2.854254,2.876743,1.372079,-0.037474,0.230421,0.014506,-2.854579,2.863419,1.372043,-0.037195,0.230612,0.014506,-2.854579,2.863419,1.372043,-0.037195,0.230612,0.014506,-2.854579,2.863419,1.372043,-0.037195,0.230612,0.461746,-90.864082,91.145447,43.673492,-1.183952,13.565427,,,,,,,1956,1046,3068,2503,2023,2117,,0,,,,0.05,,0.01,0.24,1.08,2.60
27,0,,0.000,0,0,0.015463,-2.854281,2.876776,1.372125,-0.037469,0.230425,0.014583,-2.854565,2.863325,1.372127,-0.037192,0.230343,0.014583,-2.854565,2.863325,1.372127,-0.037192,0.230343,0.014583,-2.854565,2.863325,1.372127,-0.037192,0.230343,0.464188,-90.863632,91.142471,43.676147,-1.183868,13.549569,,,,,,,1956,1046,3068,2503,2023,2117,,0,,,,0.05,,0.01,0.24,0.65,1.72
28,0,,0.000,0,0,0.015452,-2.854310,2.876809,1.372175,-0.037464,0.230425,0.014628,-2.854614,2.863288,1.372176,-0.037196,0.230124,0.014628,-2.854614,2.863288,1.372176,-0.037196,0.230124,0.014628,-2.854614,2.863288,1.372176,-0.037196,0.230124,0.465622,-90.865181,91.141296,43.677734,-1.183983,13.536710,,,,,,,1956,1046,3068,2503,2023,2117,,0,,,,0.05,,0.01,0.24,0.70,1.77
29,0,,0.000,0,0,0.015440,-2.854337,2.876842,1.372223,-0.037460,0.230421,0.014650,-2.854741,2.863304,1.372176,-0.037205,0.229997,0.014650,-2.854741,2.863304,1.372176,-0.037205,0.229997,0.014650,-2.854741,2.863305,1.372176,-0.037205,0.229997,0.466324,-90.869217,91.141815,43.677734,-1.184258,13.529242,,,,,,,1956,1046,3068,2503,2023,2116,,0,,,,0.05,,0.01,0.26,0.67,1.83
30,0,,0.000,0,0,0.015431,-2.854365,2.876872,1.372270,-0.037455,0.230415,0.014654,-2.854935,2.863347,1.372117,-0.037216,0.229939,0.014654,-2.854935,2.863347,1.372117,-0.037216,0.229939,0.014654,-2.854935,2.863347,1.372117,-0.037216,0.229939,0.466469,-90.875389,91.143158,43.675858,-1.184616,13.525811,,,,,,,1956,1046,3068,2503,2023,2116,,0,,,,0.05,,0.01,0.28,0.71,1.89
31,0,,0.000,0,0,0.015421,-2.854396,2.876903,1.372317,-0.037451,0.230407,0.014636,-2.855130,2.863364,1.371961,-0.037227,0.229866,0.014636,-2.855130,2.863364,1.371961,-0.037227,0.229866,0.014636,-2.855130,2.863364,1.371961,-0.037227,0.229866,0.465866,-90.881615,91.143707,43.670868,-1.184967,13.521540,,,,,,,1956,1046,3068,2503,2023,2116,,0,,,,0.05,,0.01,0.25,0.67,1.75
32,0,,0.000,0,0,0.015411,-2.854430,2.876935,1.372361,-0.037447,0.230398,0.014583,-2.855249,2.863320,1.371668,-0.037239,0.229740,0.014583,-2.855249,2.863320,1.371668,-0.037239,0.229740,0.014583,-2.855249,2.863320,1.371668,-0.037239,0.229740,0.464203,-90.885391,91.142303,43.661530,-1.185364,13.514105,,,,,,,1956,1046,3068,2503,2023,2116,,0,,,,0.05,,0.01,0.26,0.67,1.86
33,0,,0.000,0,0,0.015401,-2.854463,2.876964,1.372398,-0.037443,0.230388,0.014522,-2.855218,2.863198,1.371209,-0.037252,0.229607,0.014522,-2.855218,2.863198,1.371209,-0.037252,0.229607,0.014522,-2.855218,2.863198,1.371209,-0.037252,0.229607,0.462250,-90.884415,91.138412,43.646942,-1.185776,13.506269,,,,,,,1956,1046,3068,2503,2023,2116,,0,,,,0.05,,0.01,0.25,0.69,1.81
34,0,,0.000,0,0,0.015389,-2.854497,2.876993,1.372430,-0.037440,0.230375,0.014491,-2.855040,2.863017,1.370634,-0.037263,0.229553,0.014491,-2.855040,2.863017,1.370634,-0.037263,0.229553,0.014491,-2.855040,2.863017,1.370634,-0.037263,0.229553,0.461266,-90.878738,91.132660,43.628632,-1.186119,13.503131,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.24,0.64,1.73
35,0,,0.000,0,0,0.015378,-2.854530,2.877019,1.372451,-0.037436,0.230362,0.014494,-2.854784,2.862820,1.370058,-0.037270,0.229627,0.014494,-2.854784,2.862820,1.370058,-0.037270,0.229627,0.014494,-2.854784,2.862820,1.370058,-0.037270,0.229627,0.461349,-90.870605,91.126404,43.610306,-1.186340,13.507453,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.24,0.64,1.70
36,0,,0.000,0,0,0.015367,-2.854557,2.877040,1.372462,-0.037434,0.230350,0.014510,-2.854527,2.862644,1.369593,-0.037272,0.229803,0.014510,-2.854527,2.862644,1.369593,-0.037272,0.229803,0.014510,-2.854527,2.862643,1.369593,-0.037272,0.229803,0.461868,-90.862427,91.120773,43.595505,-1.186409,13.517841,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.30,0.64,1.76
37,0,,0.000,0,0,0.015356,-2.854581,2.877058,1.372465,-0.037431,0.230340,0.014496,-2.854327,2.862542,1.369321,-0.037271,0.230015,0.014496,-2.854327,2.862542,1.369321,-0.037271,0.230015,0.014496,-2.854327,2.862542,1.369321,-0.037271,0.230015,0.461411,-90.856056,91.117554,43.586838,-1.186371,13.530313,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.24,0.67,1.76
38,0,,0.000,0,0,0.015344,-2.854602,2.877074,1.372463,-0.037428,0.230333,0.014471,-2.854237,2.862564,1.369288,-0.037268,0.230181,0.014471,-2.854237,2.862564,1.369288,-0.037268,0.230181,0.014471,-2.854237,2.862564,1.369288,-0.037268,0.230181,0.460640,-90.853172,91.118240,43.585800,-1.186272,13.540038,,,,,,,1956,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.26,0.66,1.76
39,0,,0.000,0,0,0.015333,-2.854620,2.877090,1.372459,-0.037425,0.230330,0.014503,-2.854251,2.862688,1.369430,-0.037261,0.230241,0.014503,-2.854251,2.862688,1.369430,-0.037261,0.230241,0.014503,-2.854251,2.862688,1.369430,-0.037261,0.230241,0.461647,-90.853622,91.122192,43.590302,-1.186050,13.543614,,,,,,,1956,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.26,0.65,1.84
40,0,,0.000,0,0,0.015323,-2.854639,2.877108,1.372456,-0.037422,0.230329,0.014626,-2.854285,2.862809,1.369534,-0.037247,0.230195,0.014626,-2.854285,2.862809,1.369534,-0.037247,0.230195,0.014626,-2.854285,2.862809,1.369534,-0.037247,0.230195,0.465561,-90.854729,91.126038,43.593628,-1.185623,13.540870,,,,,,,1956,1046,3068,2502,2023,2117,,0,,,,0.05,,0.01,0.24,0.66,1.73
41,0,,0.000,0,0,0.015313,-2.854658,2.877127,1.372456,-0.037419,0.230327,0.014817,-2.854298,2.862868,1.369483,-0.037228,0.230066,0.014817,-2.854298,2.862868,1.369483,-0.037228,0.230066,0.014817,-2.854298,2.862868,1.369483,-0.037228,0.230066,0.471649,-90.855118,91.127914,43.591995,-1.184998,13.533291,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.24,0.64,1.69
42,0,,0.000,0,0,0.015306,-2.854676,2.877146,1.372456,-0.037416,0.230323,0.014944,-2.854302,2.862864,1.369310,-0.037207,0.229893,0.014944,-2.854302,2.862864,1.369310,-0.037207,0.229893,0.014944,-2.854302,2.862864,1.369310,-0.037207,0.229893,0.475677,-90.855240,91.127777,43.586487,-1.184334,13.523117,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.24,0.70,1.75
43,0,,0.000,0,0,0.015302,-2.854695,2.877166,1.372452,-0.037412,0.230316,0.014922,-2.854340,2.862840,1.369120,-0.037191,0.229697,0.014922,-2.854340,2.862840,1.369120,-0.037191,0.229697,0.014922,-2.854340,2.862840,1.369120,-0.037191,0.229697,0.474976,-90.856445,91.127029,43.580444,-1.183830,13.511592,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.06,,0.01,0.24,0.64,1.69
44,0,,0.000,0,0,0.015296,-2.854714,2.877185,1.372447,-0.037409,0.230307,0.014811,-2.854410,2.862801,1.368925,-0.037183,0.229470,0.014811,-2.854410,2.862801,1.368925,-0.037183,0.229470,0.014811,-2.854410,2.862801,1.368924,-0.037183,0.229470,0.471451,-90.858688,91.125793,43.574219,-1.183578,13.498232,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.27,0.72,1.83
45,0,,0.000,0,0,0.015291,-2.854732,2.877202,1.372438,-0.037405,0.230294,0.014795,-2.854464,2.862705,1.368683,-0.037178,0.229222,0.014795,-2.854464,2.862705,1.368683,-0.037178,0.229222,0.014795,-2.854464,2.862705,1.368683,-0.037178,0.229222,0.470947,-90.860413,91.122742,43.566528,-1.183395,13.483659,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.26,0.68,1.73
46,0,,0.000,0,0,0.015284,-2.854753,2.877219,1.372425,-0.037400,0.230277,0.014918,-2.854474,2.862545,1.368404,-0.037170,0.228981,0.014918,-2.854474,2.862545,1.368404,-0.037170,0.228981,0.014918,-2.854474,2.862545,1.368404,-0.037170,0.228981,0.474846,-90.860733,91.117645,43.557648,-1.183167,13.469490,,,,,,,1956,1046,3068,2502,2023,2116,,0,,,,0.05,,0.01,0.24,0.68,1.82
47,0,,0.000,0,0,0.015280,-2.854773,2.877234,1.372408,-0.037397,0.230256,0.015093,-2.854467,2.862389,1.368202,-0.037164,0.228784,0.015093,-2.854467,2.862389,1.368202,-0.037164,0.228784,0.015093,-2.854467,2.862389,1.368202,-0.037164,0.228784,0.480423,-90.860504,91.112656,43.551224,-1.182953,13.457894,,,,,,,1956,1046,3068,2501,2023,2115,,0,,,,0.08,,0.01,0.30,0.69,1.94
48,0,,0.000,0,0,0.015276,-2.854791,2.877245,1.372389,-0.037393,0.230233,0.015192,-2.854466,2.862270,1.368152,-0.037159,0.228683,0.015192,-2.854466,2.862270,1.368152,-0.037159,0.228683,0.015192,-2.854466,2.862270,1.368152,-0.037159,0.228683,0.483559,-90.860489,91.108871,43.549622,-1.182823,13.451919,,,,,,,1956,1046,3068,2501,2023,2115,,0,,,,0.05,,0.02,0.35,0.70,2.02
49,0,,0.000,0,0,0.015275,-2.854811,2.877254,1.372367,-0.037389,0.230207,0.015108,-2.854432,2.862118,1.368172,-0.037156,0.228700,0.015108,-2.854432,2.862118,1.368172,-0.037156,0.228700,0.015108,-2.854432,2.862118,1.368172,-0.037156,0.228700,0.480904,-90.859383,91.104050,43.550262,-1.182716,13.452932,,,,,,,1956,1046,3068,2501,2023,2115,,0,,,,0.05,,0.01,0.32,0.72,1.92
50,0,,0.000,0,0,0.015273,-2.854829,2.877261,1.372345,-0.037385,0.230182,0.014814,-2.854318,2.861863,1.368204,-0.037154,0.228802,0.014814,-2.854318,2.861863,1.368204,-0.037154,0.228802,0.014814,-2.854318,2.861862,1.368204,-0.037154,0.228802,0.471542,-90.855751,91.095917,43.551300,-1.182655,13.458964,,,,,,,1956,1046,3068,2501,2023,2115,,0,,,,0.05,,0.01,0.29,0.65,1.82
51,0,,0.000,0,0,0.015268,-2.854846,2.877264,1.372326,-0.037381,0.230159,0.014443,-2.854125,2.861517,1.368307,-0.037153,0.228957,0.014443,-2.854125,2.861517,1.368307,-0.037153,0.228957,0.014443,-2.854125,2.861517,1.368306,-0.037153,0.228957,0.459732,-90.849632,91.084900,43.554550,-1.182602,13.468063,,,,,,,1956,1046,3068,2501,2023,2116,,0,,,,0.05,,0.01,0.28,0.72,1.82
52,0,,0.000,0,0,0.015259,-2.854860,2.877262,1.372307,-0.037377,0.230138,0.014158,-2.853879,2.861145,1.368549,-0.037149,0.229122,0.014158,-2.853879,2.861145,1.368549,-0.037149,0.229122,0.014158,-2.853879,2.861145,1.368549,-0.037149,0.229122,0.450661,-90.841782,91.073059,43.562256,-1.182503,13.477791,,,,,,,1956,1046,3067,2502,2023,2116,,0,,,,0.05,,0.01,0.28,0.66,1.83
53,0,,0.000,0,0,0.015245,-2.854872,2.877254,1.372293,-0.037373,0.230120,0.014009,-2.853591,2.860806,1.368911,-0.037145,0.229264,0.014009,-2.853591,2.860806,1.368911,-0.037145,0.229264,0.014009,-2.853591,2.860806,1.368911,-0.037145,0.229264,0.445923,-90.832626,91.062286,43.573776,-1.182373,13.486132,,,,,,,1956,1047,3067,2502,2023,2116,,0,,,,0.05,,0.01,0.27,0.87,2.22
54,0,,0.000,0,0,0.015230,-2.854878,2.877242,1.372284,-0.037369,0.230106,0.013933,-2.853263,2.860529,1.369289,-0.037141,0.229338,0.013933,-2.853263,2.860529,1.369289,-0.037141,0.229338,0.013933,-2.853263,2.860529,1.369289,-0.037141,0.229338,0.443504,-90.822166,91.053467,43.585831,-1.182243,13.490454,,,,,,,1956,1047,3067,2502,2023,2116,,0,,,,0.10,,0.01,0.24,0.65,1.81
55,0,,0.000,0,0,0.015213,-2.854881,2.877224,1.372281,-0.037364,0.230092,0.013882,-2.852925,2.860369,1.369661,-0.037137,0.229313,0.013882,-2.852925,2.860369,1.369661,-0.037137,0.229313,0.013882,-2.852925,2.860369,1.369661,-0.037137,0.229313,0.441887,-90.811417,91.048386,43.597656,-1.182106,13.489017,,,,,,,1956,1047,3067,2502,2023,2116,,0,,,,0.05,,0.01,0.26,0.64,1.70
