step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
0,1,0.0,-11.317,0,0,0.022378,-2.845322,2.892530,1.373846,-0.037592,0.226589,0.022222,-2.839600,2.892843,1.370487,-0.037157,0.224983,0.022222,-2.839600,2.892843,1.370487,-0.037157,0.224983,0.022222,-2.839600,2.892843,1.370487,-0.037157,0.224983,0.707352,-90.387260,92.082077,43.623962,-1.182739,13.234305,0.707352,-90.387260,92.082077,43.623962,-1.182739,13.234305,1958,1052,3079,2502,2023,2112,,0,45,1789034103.367644,24.0,1.88,15.71,1.86,0.47,1.99,33.46
1,0,0.03333333333333333,-29.408,0,0,0.022378,-2.845322,2.898190,1.373846,-0.037592,0.226589,0.022146,-2.839375,2.893252,1.370353,-0.037157,0.224966,0.022146,-2.839375,2.893252,1.370353,-0.037157,0.224966,0.022146,-2.839375,2.893252,1.370353,-0.037157,0.224966,0.704918,-90.380127,92.095078,43.619675,-1.182732,13.233304,0.704918,-90.380127,92.095078,43.619675,-1.182732,13.233304,1958,1052,3079,2502,2023,2112,,0,,,,1.51,,0.02,0.44,1.58,33.12
2,0,0.06666666666666667,-29.139,0,0,0.022378,-2.845322,2.903851,1.373846,-0.037592,0.226589,0.022061,-2.839261,2.893620,1.370320,-0.037157,0.225168,0.022061,-2.839261,2.893620,1.370320,-0.037157,0.225168,0.022061,-2.839261,2.893620,1.370320,-0.037157,0.225168,0.702217,-90.376480,92.106766,43.618637,-1.182755,13.245201,0.702217,-90.376480,92.106766,43.618637,-1.182755,13.245201,1958,1052,3079,2502,2023,2112,,0,,,,1.65,,0.02,0.44,1.63,33.08
3,0,0.1,-29.494,0,0,0.022378,-2.845322,2.918001,1.373846,-0.037592,0.226589,0.021933,-2.839240,2.893833,1.370369,-0.037163,0.225597,0.021933,-2.839240,2.893833,1.370369,-0.037163,0.225597,0.021933,-2.839240,2.893833,1.370369,-0.037163,0.225597,0.698151,-90.375824,92.113556,43.620209,-1.182922,13.270390,0.698151,-90.375824,92.113556,43.620209,-1.182922,13.270390,1958,1052,3079,2502,2023,2113,,0,,,,1.47,,0.03,0.44,1.56,33.15
4,0,0.13333333333333333,-28.697,0,0,0.022378,-2.845322,2.926493,1.373846,-0.037592,0.226589,0.021787,-2.839335,2.893816,1.370513,-0.037174,0.226272,0.021787,-2.839335,2.893816,1.370513,-0.037174,0.226272,0.021787,-2.839335,2.893816,1.370514,-0.037174,0.226272,0.693512,-90.378830,92.113022,43.624802,-1.183304,13.310125,0.693512,-90.378830,92.113022,43.624802,-1.183304,13.310125,1958,1052,3079,2502,2023,2113,,0,,,,1.41,,0.03,0.53,2.32,33.18
5,0,0.16666666666666666,-29.712,0,0,0.025821,-2.845322,2.929323,1.373846,-0.037592,0.226589,0.021651,-2.839547,2.893617,1.370764,-0.037195,0.227170,0.021651,-2.839547,2.893617,1.370764,-0.037195,0.227170,0.021651,-2.839547,2.893617,1.370764,-0.037195,0.227170,0.689171,-90.385582,92.106705,43.632797,-1.183960,13.362921,0.689171,-90.385582,92.106705,43.632797,-1.183960,13.362921,1958,1052,3079,2502,2023,2114,,0,,,,1.40,,0.02,0.40,1.50,33.23
6,0,0.2,-29.626,0,0,0.025821,-2.845322,2.929323,1.373846,-0.037592,0.226589,0.021518,-2.839907,2.893284,1.371075,-0.037210,0.228189,0.021518,-2.839907,2.893284,1.371075,-0.037210,0.228189,0.021518,-2.839907,2.893284,1.371075,-0.037210,0.228189,0.684952,-90.397057,92.096085,43.642685,-1.184425,13.422859,0.684952,-90.397057,92.096085,43.642685,-1.184425,13.422859,1958,1051,3079,2502,2023,2115,,0,,,,1.41,,0.02,0.41,1.52,33.15
7,0,0.23333333333333334,-29.503,0,0,0.025821,-2.845322,2.932153,1.373846,-0.037592,0.226589,0.021384,-2.840395,2.892817,1.371430,-0.037214,0.229273,0.021384,-2.840395,2.892817,1.371430,-0.037214,0.229273,0.021384,-2.840395,2.892817,1.371430,-0.037214,0.229273,0.680687,-90.412575,92.081207,43.653961,-1.184555,13.486666,0.680687,-90.412575,92.081207,43.653961,-1.184555,13.486666,1958,1051,3079,2503,2023,2116,,0,,,,1.52,,0.02,0.42,1.56,33.18
8,0,0.26666666666666666,-29.551,0,0,0.022378,-2.845322,2.932153,1.373846,-0.037592,0.226589,0.021302,-2.841011,2.892192,1.371817,-0.037215,0.230367,0.021302,-2.841011,2.892192,1.371817,-0.037215,0.230367,0.021302,-2.841011,2.892191,1.371817,-0.037215,0.230367,0.678062,-90.432175,92.061310,43.666290,-1.184578,13.550994,0.678062,-90.432175,92.061310,43.666290,-1.184578,13.550994,1958,1051,3078,2503,2023,2117,,0,,,,1.50,,0.02,0.40,1.54,33.23
9,0,0.3,-29.430,0,0,0.022378,-2.845322,2.932153,1.373846,-0.037592,0.226589,0.021397,-2.841745,2.891450,1.372274,-0.037210,0.231329,0.021397,-2.841745,2.891450,1.372274,-0.037210,0.231329,0.021397,-2.841745,2.891450,1.372274,-0.037210,0.231329,0.681091,-90.455551,92.037704,43.680847,-1.184425,13.607568,0.681091,-90.455551,92.037704,43.680847,-1.184425,13.607568,1958,1051,3078,2503,2023,2118,,0,,,,1.54,,0.02,0.40,1.56,33.11
