monotonic,measured_shoulder_pan,measured_shoulder_lift,measured_elbow_flex,measured_wrist_flex,measured_wrist_roll,measured_gripper,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,hold_reason,settled
0.000,-28.110,-92.082,97.387,43.556,-1.636,52.358,-27.610,-91.582,96.887,43.644,-1.197,51.858,,0
0.034,-28.110,-92.082,97.387,43.556,-1.636,52.358,-27.110,-91.082,96.387,43.644,-1.197,51.358,,0
0.067,-28.110,-91.904,97.387,43.556,-1.587,52.358,-26.610,-90.836,95.887,43.644,-1.197,50.858,,0
0.100,-28.000,-91.459,97.387,43.556,-1.490,52.153,-26.110,-90.836,95.387,43.644,-1.197,50.358,,0
0.134,-27.562,-91.103,97.387,43.556,-1.392,51.606,-25.610,-90.836,94.887,43.644,-1.197,49.858,,0
0.167,-26.904,-91.014,97.387,43.556,-1.392,51.059,-25.110,-90.836,94.387,43.644,-1.197,49.358,,0
0.200,-26.247,-90.925,97.207,43.556,-1.245,50.581,-24.610,-90.836,93.887,43.644,-1.197,48.858,,0
0.234,-25.918,-90.925,97.117,43.556,-1.148,50.103,-24.110,-90.836,93.387,43.644,-1.197,48.358,,0
0.267,-25.589,-90.925,96.937,43.556,-1.148,49.556,-23.610,-90.836,92.887,43.644,-1.197,47.858,,0
0.301,-25.041,-90.925,96.937,43.556,-1.099,49.077,-23.110,-90.836,92.387,43.644,-1.197,47.358,,0
0.334,-24.493,-90.925,96.937,43.556,-1.099,48.530,-22.610,-90.836,91.887,43.644,-1.197,46.858,,0
0.367,-23.945,-90.925,96.757,43.556,-1.099,48.052,-22.110,-90.836,91.387,43.644,-1.197,46.358,,0
0.401,-23.397,-90.925,96.396,43.556,-1.099,47.573,-21.610,-90.836,91.261,43.644,-1.197,45.858,,0
0.434,-22.959,-90.925,95.946,43.556,-1.099,47.095,-21.110,-90.836,91.261,43.644,-1.197,45.358,,0
0.468,-22.521,-90.925,95.676,43.556,-1.099,46.548,-20.610,-90.836,91.261,43.644,-1.197,44.858,,0
0.501,-21.973,-90.925,95.496,43.556,-1.099,46.001,-20.110,-90.836,91.261,43.644,-1.197,44.358,,0
0.534,-21.534,-90.925,95.405,43.556,-1.099,45.523,-19.610,-90.836,91.261,43.644,-1.197,43.858,,0
0.568,-20.986,-90.925,95.405,43.556,-1.099,45.044,-19.110,-90.836,91.261,43.644,-1.197,43.358,,0
0.601,-20.438,-90.925,95.405,43.556,-1.099,44.498,-18.610,-90.836,91.261,43.644,-1.197,42.858,,0
0.635,-20.000,-90.925,95.405,43.556,-1.099,44.019,-18.110,-90.836,91.261,43.644,-1.197,42.358,,0
0.668,-19.452,-90.925,95.405,43.556,-1.099,43.541,-17.610,-90.836,91.261,43.644,-1.197,41.858,,0
0.701,-19.014,-90.925,95.405,43.556,-1.099,42.994,-17.110,-90.836,91.261,43.644,-1.197,41.358,,0
0.735,-18.466,-90.925,95.405,43.556,-1.099,42.515,-16.610,-90.836,91.261,43.644,-1.197,40.858,,0
0.768,-17.918,-90.925,95.405,43.556,-1.099,42.037,-16.110,-90.836,91.261,43.644,-1.197,40.358,,0
0.802,-17.479,-90.925,95.405,43.556,-1.099,41.490,-15.610,-90.836,91.261,43.644,-1.197,39.858,,0
0.835,-16.932,-90.925,95.405,43.556,-1.099,41.012,-15.110,-90.836,91.261,43.644,-1.197,39.358,,0
0.868,-16.493,-90.925,95.405,43.556,-1.099,40.533,-14.610,-90.836,91.261,43.644,-1.197,38.858,,0
0.902,-15.945,-90.925,95.405,43.556,-1.099,39.986,-14.110,-90.836,91.261,43.644,-1.197,38.358,,0
0.935,-15.397,-90.925,95.405,43.556,-1.099,39.508,-13.610,-90.836,91.261,43.644,-1.197,37.858,,0
0.969,-14.959,-90.925,95.405,43.556,-1.099,39.029,-13.110,-90.836,91.261,43.644,-1.197,37.358,,0
1.002,-14.521,-90.925,95.405,43.556,-1.099,38.483,-12.610,-90.836,91.261,43.644,-1.197,36.858,,0
1.035,-13.973,-90.925,95.405,43.556,-1.099,38.004,-12.110,-90.836,91.261,43.644,-1.197,36.358,,0
1.069,-13.425,-90.925,95.405,43.556,-1.099,37.526,-11.610,-90.836,91.261,43.644,-1.197,35.858,,0
1.102,-12.986,-90.925,95.405,43.556,-1.099,36.979,-11.110,-90.836,91.261,43.644,-1.197,35.358,,0
