monotonic,measured_shoulder_pan,measured_shoulder_lift,measured_elbow_flex,measured_wrist_flex,measured_wrist_roll,measured_gripper,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,hold_reason,settled
0.000,-5.205,13.345,15.225,43.818,0.562,18.865,-4.705,12.845,15.725,43.818,0.062,18.365,,0
0.034,-5.205,13.345,15.225,43.818,0.562,18.865,-4.205,12.345,16.225,43.818,-0.438,17.865,,0
0.067,-5.205,13.345,15.225,43.731,0.415,18.865,-3.705,11.845,16.725,43.818,-0.938,17.365,,0
0.100,-5.205,13.078,15.586,43.643,0.122,18.660,-3.205,11.345,17.225,43.818,-1.438,16.865,,0
0.134,-5.205,12.811,15.946,43.556,-0.220,18.182,-2.705,10.845,17.725,43.818,-1.438,16.365,,0
0.167,-4.877,12.278,16.216,43.556,-0.611,17.703,-2.205,10.345,18.225,43.818,-1.438,15.865,,0
0.201,-4.548,11.833,16.577,43.469,-0.855,17.157,-1.705,9.845,18.725,43.818,-1.438,15.365,,0
0.234,-4.110,11.388,16.937,43.469,-0.952,16.268,-1.205,9.345,19.225,43.818,-1.438,14.865,,0
0.267,-3.781,10.943,17.387,43.469,-1.001,15.789,-0.705,8.845,19.725,43.818,-1.438,14.365,,0
0.301,-3.342,10.498,17.838,43.469,-1.099,15.379,-0.205,8.345,20.225,43.818,-1.438,13.865,,0
0.334,-3.014,10.053,18.288,43.469,-1.148,14.901,0.295,7.845,20.725,43.818,-1.438,13.365,,0
0.368,-2.685,9.609,18.829,43.469,-1.197,14.354,0.795,7.345,21.225,43.818,-1.438,13.365,,0
0.401,-2.247,9.253,19.369,43.469,-1.197,13.944,1.295,6.845,21.725,43.818,-1.438,13.365,,0
0.434,-1.808,8.808,19.910,43.469,-1.197,13.602,1.795,6.345,22.225,43.818,-1.438,13.365,,0
0.468,-1.370,8.363,20.450,43.469,-1.197,13.465,2.295,5.845,22.725,43.818,-1.438,13.365,,0
0.501,-1.041,7.918,21.081,43.469,-1.197,13.465,2.795,5.345,23.225,43.818,-1.438,13.365,,0
0.535,-0.493,7.384,21.622,43.469,-1.197,13.465,2.795,4.845,23.725,43.818,-1.438,13.365,,0
0.568,-0.055,6.939,22.162,43.469,-1.197,13.465,2.795,4.345,24.225,43.818,-1.438,13.365,,0
0.601,0.164,6.495,22.793,43.469,-1.197,13.465,2.795,3.845,24.725,43.818,-1.438,13.365,,0
0.635,0.493,6.050,23.243,43.469,-1.197,13.465,2.795,3.345,25.225,43.818,-1.438,13.365,,0
0.668,0.603,5.605,23.874,43.469,-1.197,13.465,2.795,2.845,25.725,43.818,-1.438,13.365,,0
0.702,0.712,5.071,24.414,43.469,-1.197,13.465,2.795,2.345,26.225,43.818,-1.438,13.365,,0
0.735,0.932,4.626,24.955,43.469,-1.197,13.465,2.795,1.845,26.725,43.818,-1.438,13.365,,0
0.768,1.041,4.181,25.676,43.469,-1.197,13.465,2.795,1.345,27.225,43.818,-1.438,13.365,,0
0.802,1.151,3.648,26.216,43.469,-1.197,13.465,2.795,0.845,27.725,43.818,-1.438,13.365,,0
0.835,1.260,3.203,26.667,43.469,-1.197,13.465,2.795,0.345,28.225,43.818,-1.438,13.365,,0
0.868,1.260,2.758,27.207,43.469,-1.197,13.465,2.795,-0.155,28.725,43.818,-1.438,13.365,,0
0.902,1.260,2.224,27.658,43.469,-1.197,13.465,2.795,-0.655,29.225,43.818,-1.438,13.365,,0
0.935,1.260,1.868,28.108,43.469,-1.197,13.465,2.795,-1.155,29.725,43.818,-1.438,13.365,,0
