monotonic,measured_shoulder_pan,measured_shoulder_lift,measured_elbow_flex,measured_wrist_flex,measured_wrist_roll,measured_gripper,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,hold_reason,settled
0.969,1.260,1.423,28.649,43.469,-1.197,13.465,2.795,-1.655,30.225,43.818,-1.438,13.365,,0
1.002,1.260,0.979,29.099,43.469,-1.197,13.465,2.795,-2.155,30.725,43.818,-1.438,13.365,,0
1.036,1.260,0.445,29.640,43.469,-1.197,13.465,2.795,-2.655,31.225,43.818,-1.438,13.365,,0
1.069,1.260,0.000,30.180,43.469,-1.197,13.465,2.795,-3.155,31.725,43.818,-1.438,13.365,,0
1.102,1.260,-0.356,30.631,43.469,-1.197,13.465,2.795,-3.655,32.225,43.818,-1.438,13.365,,0
1.136,1.260,-0.890,31.171,43.469,-1.197,13.465,2.795,-4.155,32.725,43.818,-1.438,13.365,,0
1.169,1.260,-1.335,31.712,43.469,-1.197,13.465,2.795,-4.655,33.225,43.818,-1.438,13.365,,0
1.203,1.260,-1.779,32.252,43.469,-1.197,13.465,2.795,-5.155,33.725,43.818,-1.438,13.365,,0
1.236,1.260,-2.224,32.793,43.469,-1.197,13.465,2.795,-5.655,34.225,43.818,-1.438,13.365,,0
1.269,1.260,-2.669,33.243,43.469,-1.197,13.465,2.795,-6.155,34.725,43.818,-1.438,13.365,,0
1.303,1.260,-3.114,33.784,43.469,-1.197,13.465,2.795,-6.655,35.225,43.818,-1.438,13.365,,0
1.336,1.260,-3.648,34.324,43.469,-1.197,13.465,2.795,-7.155,35.725,43.818,-1.438,13.365,,0
1.369,1.260,-4.093,34.865,43.469,-1.197,13.465,2.795,-7.655,36.225,43.818,-1.438,13.365,,0
1.403,1.370,-4.537,35.405,43.469,-1.197,13.465,2.795,-8.155,36.725,43.818,-1.438,13.365,,0
1.436,1.370,-5.071,35.946,43.469,-1.197,13.465,2.795,-8.655,37.225,43.818,-1.438,13.365,,0
1.470,1.589,-5.516,36.577,43.469,-1.197,13.465,2.295,-9.155,37.725,43.818,-1.438,13.365,,0
1.503,1.808,-5.961,37.117,43.469,-1.197,13.465,1.795,-9.655,38.225,43.818,-1.438,13.365,,0
1.537,1.808,-6.406,37.658,43.469,-1.197,13.465,1.295,-10.155,38.725,43.818,-1.438,13.365,,0
1.570,1.808,-6.939,38.198,43.469,-1.197,13.465,0.795,-10.655,39.225,43.818,-1.438,13.365,,0
1.603,1.808,-7.384,38.739,43.469,-1.197,13.465,0.295,-11.155,39.725,43.818,-1.438,13.365,,0
1.637,1.699,-7.829,39.189,43.469,-1.197,13.465,-0.205,-11.655,40.225,43.818,-1.438,13.365,,0
1.670,1.370,-8.363,39.730,43.469,-1.197,13.534,-0.205,-12.155,40.725,43.818,-1.438,13.365,,0
1.704,0.932,-8.808,40.270,43.469,-1.197,13.944,-0.205,-12.655,41.225,43.818,-1.438,13.365,,0
1.737,0.603,-9.253,40.811,43.469,-1.197,13.944,-0.205,-13.155,41.725,43.818,-1.438,13.365,,0
1.770,0.493,-9.698,41.261,43.469,-1.197,13.739,-0.205,-13.655,42.225,43.818,-1.438,13.365,,0
1.804,0.493,-10.142,41.712,43.469,-1.197,13.671,-0.205,-14.155,42.725,43.818,-1.438,13.365,,0
1.837,0.384,-10.676,42.252,43.469,-1.197,13.602,-0.205,-14.655,43.225,43.818,-1.438,13.365,,0
1.871,0.274,-11.121,42.883,43.469,-1.197,13.534,-0.205,-15.155,43.725,43.818,-1.438,13.365,,0
1.904,0.274,-11.655,43.333,43.469,-1.197,13.534,-0.205,-15.655,44.225,43.818,-1.438,13.365,,0
1.937,0.274,-12.100,43.874,43.469,-1.197,13.534,-0.205,-16.155,44.725,43.818,-1.438,13.365,,0
1.971,0.274,-12.544,44.414,43.469,-1.197,13.534,-0.205,-16.655,45.225,43.818,-1.438,13.365,,0
2.004,0.274,-13.078,44.955,43.469,-1.197,13.534,-0.205,-17.155,45.725,43.818,-1.438,13.365,,0
2.038,0.274,-13.612,45.495,43.556,-1.197,13.534,-0.205,-17.655,46.225,43.818,-1.438,13.365,,0
2.071,0.274,-14.057,45.946,43.556,-1.197,13.534,-0.205,-18.155,46.725,43.818,-1.438,13.365,,0
2.105,0.274,-14.591,46.396,43.731,-1.197,13.534,-0.205,-18.655,47.225,43.818,-1.438,13.365,,0
2.138,0.274,-15.036,46.937,43.818,-1.197,13.534,-0.205,-19.155,47.725,43.818,-1.438,13.365,,0
2.171,0.274,-15.569,47.477,43.906,-1.197,13.534,-0.205,-19.655,48.225,43.818,-1.438,13.365,,0
2.205,0.274,-16.103,47.928,43.993,-1.197,13.534,-0.205,-20.155,48.725,43.818,-1.438,13.365,,0
2.238,0.274,-16.548,48.378,43.993,-1.197,13.534,-0.205,-20.655,49.225,43.818,-1.438,13.365,,0
2.272,0.274,-17.082,49.009,44.080,-1.197,13.534,-0.205,-21.155,49.725,43.818,-1.438,13.365,,0
2.305,0.274,-17.527,49.459,44.080,-1.197,13.465,-0.205,-21.655,50.225,43.818,-1.438,13.365,,0
2.338,0.274,-18.061,49.910,44.080,-1.197,13.465,-0.205,-22.155,50.725,43.818,-1.438,13.365,,0
2.372,0.274,-18.505,50.450,44.080,-1.197,13.465,-0.205,-22.655,51.225,43.818,-1.438,13.365,,0
2.405,0.274,-19.039,50.991,44.080,-1.197,13.397,-0.205,-23.155,51.725,43.818,-1.438,13.365,,0
2.438,0.274,-19.484,51.441,44.080,-1.197,13.397,-0.205,-23.655,52.225,43.818,-1.438,13.365,,0
2.472,0.274,-20.018,51.982,44.080,-1.197,13.329,-0.205,-24.155,52.725,43.818,-1.438,13.365,,0
2.505,0.274,-20.463,52.432,44.080,-1.197,13.329,-0.205,-24.655,53.225,43.818,-1.438,13.365,,0
2.539,0.274,-20.996,52.973,44.168,-1.197,13.329,-0.205,-25.155,53.725,43.818,-1.438,13.365,,0
2.572,0.274,-21.530,53.514,44.168,-1.197,13.260,-0.205,-25.655,54.225,43.818,-1.438,13.365,,0
2.606,0.274,-22.064,54.054,44.168,-1.197,13.260,-0.205,-26.155,54.725,43.818,-1.438,13.365,,0
2.639,0.274,-22.598,54.505,44.168,-1.197,13.192,-0.205,-26.655,55.225,43.818,-1.438,13.365,,0
2.672,0.274,-23.043,55.045,44.168,-1.197,13.192,-0.205,-27.155,55.725,43.818,-1.438,13.365,,0
2.706,0.274,-23.577,55.586,44.168,-1.197,13.124,-0.205,-27.655,56.225,43.818,-1.438,13.365,,0
2.739,0.274,-24.199,56.036,44.168,-1.197,13.124,-0.205,-28.155,56.725,43.818,-1.438,13.365,,0
2.773,0.274,-24.644,56.486,44.168,-1.197,13.124,-0.205,-28.655,57.225,43.818,-1.438,13.365,,0
2.806,0.274,-25.178,57.027,44.168,-1.197,13.124,-0.205,-29.155,57.725,43.818,-1.438,13.365,,0
2.839,0.274,-25.712,57.477,44.168,-1.197,13.055,-0.205,-29.655,58.225,43.818,-1.438,13.365,,0
2.873,0.274,-26.157,58.018,44.255,-1.197,13.055,-0.205,-30.155,58.725,43.818,-1.438,13.365,,0
2.906,0.274,-26.690,58.468,44.255,-1.197,13.055,-0.205,-30.655,59.225,43.818,-1.438,13.365,,0
2.940,0.274,-27.224,59.009,44.255,-1.197,13.055,-0.205,-31.155,59.725,43.818,-1.438,13.365,,0
2.973,0.274,-27.758,59.459,44.255,-1.197,13.055,-0.205,-31.655,60.225,43.818,-1.438,13.365,,0
3.006,0.274,-28.292,60.000,44.255,-1.197,13.055,-0.205,-32.155,60.725,43.818,-1.438,13.365,,0
3.040,0.164,-28.826,60.541,44.255,-1.197,13.055,-0.205,-32.655,61.225,43.818,-1.438,13.365,,0
3.073,0.164,-29.359,60.991,44.255,-1.197,13.055,-0.205,-33.155,61.725,43.818,-1.438,13.365,,0
3.107,0.164,-29.893,61.532,44.255,-1.197,13.055,-0.205,-33.655,62.225,43.818,-1.438,13.365,,0
3.140,0.164,-30.427,62.072,44.255,-1.197,13.055,-0.205,-34.155,62.725,43.818,-1.438,13.365,,0
3.173,0.164,-30.961,62.523,44.255,-1.197,13.055,-0.205,-34.655,63.225,43.818,-1.438,13.365,,0
3.207,0.055,-31.495,62.973,44.255,-1.197,13.055,-0.205,-35.155,63.725,43.818,-1.438,13.365,,0
3.240,0.055,-32.028,63.514,44.255,-1.197,13.055,-0.205,-35.655,64.225,43.818,-1.438,13.365,,0
3.274,0.055,-32.651,63.964,44.255,-1.197,13.055,-0.205,-36.155,64.725,43.818,-1.438,13.365,,0
3.307,0.055,-33.185,64.505,44.255,-1.197,13.055,-0.205,-36.655,65.225,43.818,-1.438,13.365,,0
3.340,0.055,-33.719,64.955,44.255,-1.197,13.055,-0.205,-37.155,65.725,43.818,-1.438,13.365,,0
3.374,0.055,-34.253,65.496,44.255,-1.197,13.055,-0.205,-37.655,66.225,43.818,-1.438,13.365,,0
3.407,-0.055,-34.786,65.946,44.255,-1.197,13.055,-0.205,-38.155,66.725,43.818,-1.438,13.365,,0
3.441,-0.055,-35.409,66.486,44.255,-1.197,13.055,-0.205,-38.655,67.225,43.818,-1.438,13.365,,0
3.474,-0.055,-35.943,66.937,44.255,-1.197,13.055,-0.205,-39.155,67.725,43.818,-1.438,13.365,,0
3.507,-0.164,-36.477,67.477,44.255,-1.197,13.055,-0.205,-39.655,68.225,43.818,-1.438,13.365,,0
3.541,-0.164,-37.100,67.928,44.255,-1.197,13.055,-0.205,-40.155,68.725,43.818,-1.438,13.365,,0
3.574,-0.164,-37.633,68.378,44.255,-1.197,13.055,-0.205,-40.655,69.225,43.818,-1.438,13.365,,0
3.608,-0.164,-38.167,68.829,44.255,-1.197,13.055,-0.205,-41.155,69.725,43.818,-1.438,13.365,,0
3.641,-0.274,-38.701,69.369,44.255,-1.197,13.055,-0.205,-41.655,70.225,43.818,-1.438,13.365,,0
3.675,-0.274,-39.235,69.910,44.255,-1.197,13.055,-0.205,-42.155,70.725,43.818,-1.438,13.365,,0
3.708,-0.274,-39.858,70.360,44.255,-1.197,13.055,-0.205,-42.655,71.225,43.818,-1.438,13.365,,0
3.741,-0.274,-40.480,70.991,44.168,-1.197,13.055,-0.205,-43.155,71.725,43.818,-1.438,13.365,,0
3.775,-0.274,-41.014,71.351,43.993,-1.197,13.055,-0.205,-43.655,72.225,43.818,-1.438,13.365,,0
3.808,-0.274,-41.548,71.892,43.993,-1.197,13.055,-0.205,-44.155,72.725,43.818,-1.438,13.365,,0
3.842,-0.274,-42.082,72.342,43.818,-1.197,13.055,-0.205,-44.655,73.225,43.818,-1.438,13.365,,0
3.875,-0.274,-42.616,72.973,43.731,-1.197,13.055,-0.205,-45.155,73.725,43.818,-1.438,13.365,,0
3.908,-0.274,-43.238,73.333,43.731,-1.197,13.055,-0.205,-45.655,74.225,43.818,-1.438,13.365,,0
3.942,-0.274,-43.772,73.784,43.643,-1.197,13.055,-0.205,-46.155,74.725,43.818,-1.438,13.365,,0
3.975,-0.274,-44.306,74.234,43.643,-1.197,13.055,-0.205,-46.655,75.225,43.818,-1.438,13.365,,0
4.009,-0.384,-44.840,74.775,43.643,-1.197,13.055,-0.205,-47.155,75.725,43.818,-1.438,13.365,,0
4.042,-0.384,-45.463,75.315,43.643,-1.197,13.055,-0.205,-47.655,76.225,43.818,-1.438,13.365,,0
4.075,-0.384,-45.996,75.676,43.643,-1.197,13.055,-0.205,-48.155,76.725,43.818,-1.438,13.365,,0
4.109,-0.384,-46.530,76.216,43.556,-1.197,13.055,-0.205,-48.655,77.225,43.818,-1.438,13.365,,0
4.142,-0.384,-47.153,76.577,43.556,-1.197,13.055,-0.205,-49.155,77.725,43.818,-1.438,13.365,,0
4.176,-0.384,-47.598,76.937,43.556,-1.197,13.055,-0.205,-49.655,78.225,43.818,-1.438,13.365,,0
4.209,-0.384,-48.221,77.477,43.556,-1.197,13.055,-0.205,-50.155,78.725,43.818,-1.438,13.365,,0
4.242,-0.493,-48.843,78.018,43.556,-1.197,13.055,-0.205,-50.655,79.225,43.818,-1.438,13.365,,0
4.276,-0.493,-49.555,78.559,43.556,-1.197,13.055,-0.205,-51.155,79.725,43.818,-1.438,13.365,,0
4.309,-0.493,-50.267,79.009,43.556,-1.197,13.055,-0.205,-51.655,80.225,43.818,-1.438,13.365,,0
4.343,-0.493,-50.890,79.550,43.556,-1.197,13.055,-0.205,-52.155,80.725,43.818,-1.438,13.365,,0
4.376,-0.493,-51.335,80.000,43.556,-1.197,13.055,-0.205,-52.655,81.225,43.818,-1.438,13.365,,0
4.409,-0.493,-51.779,80.450,43.556,-1.197,13.055,-0.205,-53.155,81.725,43.818,-1.438,13.365,,0
4.443,-0.493,-52.313,80.901,43.556,-1.197,13.055,-0.205,-53.655,82.225,43.818,-1.438,13.365,,0
4.476,-0.493,-52.847,81.261,43.556,-1.197,13.055,-0.205,-54.155,82.725,43.818,-1.438,13.365,,0
4.509,-0.493,-53.292,81.712,43.556,-1.197,13.055,-0.205,-54.655,83.225,43.818,-1.438,13.365,,0
4.543,-0.493,-53.826,82.162,43.556,-1.197,13.055,-0.205,-55.155,83.725,43.818,-1.438,13.365,,0
4.576,-0.493,-54.359,82.613,43.556,-1.197,13.055,-0.205,-55.655,84.225,43.818,-1.438,13.365,,0
4.610,-0.493,-54.893,82.973,43.556,-1.197,13.055,-0.205,-56.155,84.725,43.818,-1.438,13.365,,0
4.643,-0.493,-55.427,83.423,43.556,-1.197,13.055,-0.205,-56.655,85.225,43.818,-1.438,13.365,,0
4.677,-0.493,-55.872,83.784,43.556,-1.197,13.055,-0.205,-57.155,85.725,43.818,-1.438,13.365,,0
4.710,-0.493,-56.406,84.054,43.469,-1.197,13.055,-0.205,-57.655,86.225,43.818,-1.438,13.365,,0
4.743,-0.493,-56.940,84.595,43.469,-1.197,13.055,-0.205,-58.155,86.725,43.818,-1.438,13.365,,0
4.777,-0.493,-57.473,85.045,43.469,-1.197,13.055,-0.205,-58.655,87.225,43.818,-1.438,13.365,,0
4.810,-0.493,-58.007,85.586,43.469,-1.197,13.055,-0.205,-59.155,87.725,43.818,-1.438,13.365,,0
4.843,-0.493,-58.541,86.036,43.469,-1.197,13.055,-0.205,-59.655,88.225,43.818,-1.438,13.365,,0
4.877,-0.493,-59.075,86.486,43.469,-1.197,13.055,-0.205,-60.155,88.725,43.818,-1.438,13.365,,0
4.910,-0.493,-59.609,86.937,43.469,-1.197,13.055,-0.205,-60.655,89.225,43.818,-1.438,13.365,,0
4.944,-0.603,-60.142,87.297,43.469,-1.197,13.055,0.295,-61.155,89.725,43.818,-1.438,13.365,,0
4.977,-0.603,-60.676,87.748,43.469,-1.197,13.055,0.795,-61.655,90.225,43.818,-1.438,13.365,,0
5.010,-0.603,-61.210,88.108,43.469,-1.197,13.055,1.295,-62.155,90.725,43.818,-1.438,13.365,,0
5.044,-0.603,-61.833,88.559,43.469,-1.197,13.055,1.795,-62.655,91.225,43.818,-1.438,13.365,,0
5.077,-0.164,-62.367,89.009,43.469,-1.197,13.055,1.795,-63.155,91.725,43.818,-1.438,13.365,,0
5.111,0.164,-62.900,89.369,43.469,-1.197,12.987,1.795,-63.655,92.225,43.818,-1.438,13.365,,0
5.144,0.493,-63.434,89.820,43.381,-1.197,12.987,1.795,-64.155,92.725,43.818,-1.438,13.365,,0
5.177,0.493,-63.879,90.180,43.381,-1.197,12.987,1.795,-64.655,93.225,43.818,-1.438,13.365,,0
5.211,0.493,-64.413,90.541,43.381,-1.197,12.987,1.795,-65.155,93.225,43.818,-1.438,13.365,,0
5.244,0.493,-64.947,90.901,43.381,-1.197,12.987,1.795,-65.655,93.225,43.818,-1.438,13.365,,0
5.277,0.493,-65.480,91.171,43.381,-1.197,12.987,1.795,-66.155,93.225,43.818,-1.438,13.365,,0
5.311,0.493,-65.836,91.351,43.381,-1.197,12.987,1.795,-66.655,93.225,43.818,-1.438,13.365,,0
5.344,0.493,-66.281,91.622,43.381,-1.197,12.987,1.795,-67.155,93.225,43.818,-1.438,13.365,,0
5.378,0.493,-66.815,91.802,43.381,-1.197,12.987,1.795,-67.655,93.225,43.818,-1.438,13.365,,0
5.411,0.493,-67.260,91.982,43.381,-1.197,12.987,1.795,-68.155,93.225,43.818,-1.438,13.365,,0
5.444,0.493,-67.705,92.162,43.381,-1.197,12.987,1.795,-68.655,93.225,43.818,-1.438,13.365,,0
5.478,0.493,-68.238,92.342,43.381,-1.197,12.987,1.795,-69.155,92.725,43.818,-1.438,13.365,,0
5.511,0.493,-68.683,92.432,43.381,-1.197,12.987,1.795,-69.655,92.225,43.818,-1.438,13.365,,0
5.545,0.493,-69.217,92.613,43.381,-1.197,12.987,1.795,-70.155,91.725,43.818,-1.438,13.365,,0
5.578,0.493,-69.662,92.703,43.381,-1.197,12.987,1.795,-70.655,91.225,43.818,-1.438,13.365,,0
5.611,0.493,-70.107,92.523,43.469,-1.197,12.987,1.795,-71.155,90.725,43.818,-1.438,13.365,,0
5.645,0.493,-70.552,92.342,43.469,-1.197,12.987,1.795,-71.655,90.225,43.818,-1.438,13.365,,0
5.678,0.493,-70.907,92.162,43.556,-1.197,12.987,1.795,-72.155,90.225,43.818,-1.438,13.365,,0
5.711,0.603,-71.174,92.072,43.818,-1.197,12.987,1.795,-72.655,90.225,43.818,-1.438,13.365,,0
5.745,0.603,-71.352,92.072,43.993,-1.197,12.987,1.795,-73.155,90.225,43.818,-1.438,13.365,,0
5.778,0.603,-71.797,92.072,43.993,-1.197,12.987,1.795,-73.655,90.225,43.818,-1.438,13.365,,0
5.812,0.603,-72.242,92.072,44.080,-1.197,12.987,1.795,-74.155,90.225,43.818,-1.438,13.365,,0
5.845,0.603,-72.687,92.072,44.168,-1.197,12.987,1.795,-74.655,90.225,43.818,-1.438,13.365,,0
5.878,0.603,-73.132,92.162,44.255,-1.197,12.987,1.795,-75.155,90.225,43.818,-1.438,13.365,,0
5.912,0.712,-73.577,92.162,44.255,-1.197,12.987,1.795,-75.655,90.225,43.818,-1.438,13.365,,0
5.945,0.712,-74.021,92.162,44.255,-1.197,12.987,1.795,-76.155,90.225,43.818,-1.438,13.365,,0
5.979,0.712,-74.555,92.162,44.342,-1.197,12.987,1.795,-76.655,90.225,43.818,-1.438,13.365,,0
6.012,0.712,-75.000,92.162,44.342,-1.197,12.987,1.795,-77.155,90.225,43.818,-1.438,13.365,,0
6.045,0.712,-75.445,92.162,44.342,-1.197,12.987,1.795,-77.655,90.225,43.818,-1.438,13.365,,0
6.079,0.712,-75.979,92.162,44.342,-1.197,12.987,1.795,-78.155,90.225,43.818,-1.438,13.365,,0
6.112,0.712,-76.512,92.162,44.342,-1.197,12.987,1.795,-78.655,90.225,43.818,-1.438,13.365,,0
6.146,0.712,-76.957,92.162,44.342,-1.197,12.987,1.795,-79.155,90.225,43.818,-1.438,13.365,,0
6.179,0.712,-77.491,92.162,44.342,-1.197,12.987,1.795,-79.655,90.225,43.818,-1.438,13.365,,0
6.212,0.712,-77.936,92.162,44.342,-1.197,12.987,1.795,-80.155,90.225,43.818,-1.438,13.365,,0
6.246,0.712,-78.470,92.162,44.342,-1.197,12.987,1.795,-80.655,90.225,43.818,-1.438,13.365,,0
6.279,0.712,-78.915,92.162,44.342,-1.197,12.987,1.795,-81.155,90.225,43.818,-1.438,13.365,,0
6.313,0.712,-79.448,92.162,44.342,-1.197,12.987,1.795,-81.655,90.225,43.818,-1.438,13.365,,0
6.346,0.712,-79.982,92.162,44.342,-1.197,12.987,1.795,-82.155,90.225,43.818,-1.438,13.365,,0
6.379,0.712,-80.516,92.162,44.342,-1.197,12.987,1.795,-82.655,90.225,43.818,-1.438,13.365,,0
6.413,0.712,-80.961,92.162,44.342,-1.197,12.987,1.795,-83.155,90.225,43.818,-1.438,13.365,,0
6.446,0.712,-81.495,92.162,44.342,-1.197,12.987,1.795,-83.655,90.225,43.818,-1.438,13.365,,0
6.480,0.712,-81.939,92.162,44.342,-1.197,12.987,1.795,-84.155,90.225,43.818,-1.438,13.365,,0
6.513,0.712,-82.473,92.162,44.342,-1.197,12.987,1.795,-84.655,90.225,43.818,-1.438,13.365,,0
6.546,0.712,-83.007,92.162,44.342,-1.197,12.987,1.795,-85.155,90.225,43.818,-1.438,13.365,,0
6.580,0.712,-83.452,92.162,44.342,-1.197,12.987,1.795,-85.655,90.225,43.818,-1.438,13.365,,0
6.613,0.712,-83.986,92.162,44.342,-1.197,12.987,1.795,-86.155,90.225,43.818,-1.438,13.365,,0
6.647,0.712,-84.520,92.162,44.342,-1.197,12.987,1.795,-86.655,90.225,43.818,-1.438,13.365,,0
6.680,0.712,-84.964,92.162,44.342,-1.197,12.987,1.795,-87.155,90.225,43.818,-1.438,13.365,,0
6.713,0.712,-85.498,92.162,44.342,-1.197,12.987,1.795,-87.655,90.225,43.818,-1.438,13.365,,0
6.747,0.712,-86.032,92.162,44.342,-1.197,12.987,1.795,-88.155,90.225,43.818,-1.438,13.365,,0
6.780,0.712,-86.566,92.162,44.342,-1.197,12.987,1.795,-88.655,90.225,43.818,-1.438,13.365,,0
6.813,0.712,-87.011,92.162,44.342,-1.197,12.987,1.795,-89.155,90.225,43.818,-1.438,13.365,,0
6.847,0.712,-87.544,92.162,44.342,-1.197,12.987,1.795,-89.655,90.225,43.818,-1.438,13.365,,0
6.880,0.712,-87.989,92.162,44.342,-1.197,12.987,1.795,-90.155,90.225,43.818,-1.438,13.365,,0
6.914,0.712,-88.523,92.162,44.342,-1.197,12.987,1.795,-90.655,90.225,43.818,-1.438,13.365,,0
6.947,0.712,-89.057,92.162,44.342,-1.197,12.987,1.795,-91.155,90.225,43.818,-1.438,13.365,,0
6.980,0.712,-89.502,92.162,44.342,-1.197,12.987,1.795,-91.655,90.225,43.818,-1.438,13.365,,0
7.014,0.712,-89.947,92.162,44.342,-1.197,12.987,1.795,-91.655,90.225,43.818,-1.438,13.365,,1
